iter	Passed	Remaining
0	271	407046
1	521	390917
2	776	387634
3	1023	382857
4	1268	379399
5	1522	379226
6	1805	385115
7	2070	386216
8	2316	383728
9	2561	381726
10	2810	380431
11	3060	379493
12	3307	378368
13	3559	377768
14	3810	377247
15	4059	376477
16	4308	375880
17	4543	374110
18	4769	371781
19	5018	371391
20	5267	370990
21	5513	370418
22	5764	370199
23	5999	368992
24	6249	368713
25	6497	368352
26	6751	368316
27	6989	367421
28	7235	367004
29	7465	365804
30	7712	365464
31	7942	364357
32	8165	363015
33	8399	362186
34	8631	361293
35	8869	360675
36	9102	359920
37	9352	359818
38	9604	359811
39	9855	359709
40	10105	359619
41	10336	358831
42	10560	357836
43	10800	357409
44	11036	356848
45	11284	356699
46	11516	356041
47	11765	355911
48	12014	355775
49	12238	354909
50	12511	355463
51	12745	354899
52	12989	354639
53	13239	354515
54	13471	353922
55	13723	353864
56	13947	353083
57	14171	352330
58	14393	351550
59	14619	350867
60	14847	350256
61	15068	349484
62	15295	348885
63	15527	348397
64	15752	347771
65	15995	347528
66	16216	346848
67	16467	346795
68	16668	345689
69	16881	344865
70	17099	344154
71	17314	343409
72	17537	342818
73	17790	342831
74	18013	342265
75	18245	341863
76	18477	341479
77	18715	341193
78	18950	340867
79	19163	340151
80	19389	339666
81	19620	339296
82	19836	338654
83	20057	338105
84	20256	337216
85	20491	336916
86	20718	336489
87	20962	336358
88	21175	335711
89	21400	335276
90	21606	334551
91	21883	334916
92	22104	334416
93	22302	333582
94	22531	333222
95	22722	332314
96	22942	331834
97	23162	331360
98	23371	330748
99	23595	330343
100	23803	329712
101	24016	329171
102	24256	328990
103	24484	328661
104	24685	327970
105	24893	327375
106	25098	326751
107	25344	326661
108	25549	326044
109	25747	325355
110	25977	325070
111	26180	324452
112	26387	323890
113	26605	323468
114	26806	322840
115	27042	322645
116	27279	322454
117	27472	321756
118	27700	321465
119	27928	321180
120	28168	321027
121	28403	320824
122	28625	320466
123	28814	319746
124	29022	319250
125	29222	318665
126	29421	318081
127	29654	317859
128	29863	317387
129	30095	317164
130	30315	316803
131	30555	316662
132	30761	316177
133	30957	315582
134	31177	315236
135	31405	314978
136	31628	314668
137	31881	314657
138	32086	314172
139	32309	313865
140	32489	313141
141	32684	312575
142	32931	312500
143	33146	312131
144	33327	311443
145	33549	311138
146	33780	310920
147	33982	310437
148	34192	310024
149	34421	309791
150	34631	309388
151	34818	308786
152	35016	308283
153	35224	307874
154	35484	307918
155	35709	307647
156	35911	307194
157	36178	307288
158	36411	307096
159	36629	306775
160	36865	306598
161	37097	306400
162	37296	305924
163	37493	305438
164	37732	305294
165	37977	305195
166	38187	304816
167	38374	304255
168	38632	304255
169	38848	303935
170	39029	303333
171	39224	302849
172	39438	302517
173	39620	301936
174	39821	301507
175	40025	301099
176	40253	300877
177	40466	300541
178	40705	300402
179	40905	299975
180	41130	299732
181	41328	299291
182	41548	299010
183	41785	298854
184	41994	298503
185	42210	298197
186	42405	297748
187	42614	297393
188	42850	297230
189	43037	296734
190	43287	296666
191	43480	296208
192	43697	295922
193	43924	295700
194	44162	295551
195	44388	295316
196	44631	295200
197	44861	294999
198	45057	294570
199	45244	294090
200	45442	293683
201	45683	293552
202	45915	293363
203	46094	292838
204	46309	292541
205	46517	292204
206	46693	291665
207	46930	291513
208	47146	291222
209	47344	290831
210	47573	290626
211	47777	290268
212	47981	289913
213	48199	289648
214	48425	289427
215	48625	289048
216	48828	288695
217	49051	288460
218	49240	288024
219	49446	287691
220	49654	287365
221	49848	286962
222	50055	286640
223	50234	286155
224	50444	285852
225	50631	285417
226	50833	285068
227	51070	284917
228	51280	284615
229	51538	284581
230	51771	284404
231	51990	284155
232	52171	283695
233	52374	283356
234	52568	282974
235	52786	282720
236	52995	282417
237	53203	282114
238	53458	282056
239	53668	281760
240	53871	281427
241	54071	281084
242	54289	280831
243	54515	280621
244	54736	280385
245	54956	280144
246	55183	279941
247	55360	279479
248	55556	279121
249	55769	278849
250	55999	278658
251	56201	278329
252	56392	277952
253	56617	277736
254	56802	277328
255	57048	277218
256	57286	277071
257	57489	276754
258	57668	276318
259	57891	276098
260	58061	275625
261	58311	275531
262	58492	275115
263	58704	274841
264	58900	274497
265	59087	274114
266	59300	273849
267	59518	273605
268	59716	273275
269	59907	272912
270	60078	272459
271	60303	272251
272	60543	272114
273	60780	271957
274	60986	271666
275	61181	271326
276	61397	271080
277	61610	270818
278	61888	270846
279	62099	270577
280	62347	270470
281	62587	270323
282	62784	269993
283	63022	269841
284	63240	269604
285	63420	269202
286	63596	268789
287	63802	268502
288	64012	268231
289	64260	268122
290	64478	267882
291	64689	267617
292	64894	267331
293	65134	267184
294	65355	266961
295	65568	266702
296	65765	266383
297	65965	266074
298	66150	265710
299	66368	265473
300	66579	265213
301	66768	264863
302	67018	264758
303	67216	264444
304	67465	264330
305	67706	264189
306	67911	263902
307	68116	263619
308	68308	263287
309	68522	263039
310	68702	262660
311	68905	262370
312	69116	262111
313	69328	261860
314	69584	261770
315	69772	261425
316	70001	261235
317	70227	261035
318	70468	260888
319	70709	260740
320	70913	260458
321	71128	260214
322	71328	259917
323	71523	259602
324	71776	259498
325	71986	259240
326	72184	258937
327	72376	258612
328	72558	258255
329	72731	257867
330	72956	257662
331	73153	257357
332	73346	257041
333	73572	256842
334	73766	256529
335	73955	256204
336	74176	255987
337	74383	255719
338	74575	255403
339	74773	255109
340	75000	254913
341	75219	254689
342	75423	254415
343	75601	254056
344	75791	253735
345	76018	253540
346	76219	253258
347	76401	252916
348	76580	252561
349	76760	252214
350	76997	252053
351	77239	251905
352	77418	251555
353	77596	251202
354	77779	250867
355	78005	250670
356	78213	250413
357	78405	250110
358	78618	249872
359	78836	249649
360	79000	249255
361	79189	248942
362	79445	248841
363	79648	248572
364	79883	248404
365	80065	248071
366	80242	247725
367	80438	247437
368	80651	247200
369	80852	246929
370	81069	246704
371	81275	246447
372	81462	246133
373	81636	245783
374	81894	245683
375	82110	245458
376	82315	245198
377	82511	244913
378	82712	244646
379	82903	244348
380	83100	244065
381	83275	243721
382	83480	243466
383	83689	243223
384	83871	242900
385	84073	242637
386	84272	242363
387	84510	242206
388	84687	241871
389	84891	241613
390	85098	241367
391	85304	241116
392	85549	240975
393	85775	240781
394	85962	240477
395	86142	240156
396	86300	239771
397	86511	239537
398	86718	239291
399	86911	239007
400	87110	238739
401	87297	238438
402	87475	238115
403	87664	237823
404	87833	237475
405	88059	237284
406	88245	236983
407	88450	236735
408	88608	236361
409	88791	236056
410	88999	235816
411	89172	235485
