iter	Passed	Remaining
0	275	688065
1	521	651345
2	763	635819
3	1007	628970
4	1253	625636
5	1500	623885
6	1746	622041
7	1992	620760
8	2240	620023
9	2484	618661
10	2728	617289
11	2976	617106
12	3221	616353
13	3464	615207
14	3709	614600
15	3956	614311
16	4204	614128
17	4450	613669
18	4693	612927
19	4946	613393
20	5193	613033
21	5439	612699
22	5684	612211
23	5929	611694
24	6176	611520
25	6424	611298
26	6669	610883
27	6914	610435
28	7167	610709
29	7417	610711
30	7665	610483
31	7913	610319
32	8161	610107
33	8405	609631
34	8646	608956
35	8934	611534
36	9191	611823
37	9422	610490
38	9668	610100
39	9905	609212
40	10157	609201
41	10389	608057
42	10623	607048
43	10868	606652
44	11116	606466
45	11348	605440
46	11579	604354
47	11815	603585
48	12052	602853
49	12317	603542
50	12551	602721
51	12808	602994
52	13042	602168
53	13281	601581
54	13519	601009
55	13769	600948
56	14007	600376
57	14264	600582
58	14503	600034
59	14735	599247
60	14969	598522
61	15205	597909
62	15446	597512
63	15696	597429
64	15930	596763
65	16188	597026
66	16425	596464
67	16638	595069
68	16875	594567
69	17136	594867
70	17373	594379
71	17632	594609
72	17864	593922
73	18110	593720
74	18327	592577
75	18597	593151
76	18880	594117
77	19098	593019
78	19338	592641
79	19573	592108
80	19815	591772
81	20038	590885
82	20296	591033
83	20519	590181
84	20753	589642
85	20986	589081
86	21206	588188
87	21424	587222
88	21649	586482
89	21892	586231
90	22111	585336
91	22350	585008
92	22586	584573
93	22825	584228
94	23055	583660
95	23291	583259
96	23528	582867
97	23762	582414
98	23962	581141
99	24206	580956
100	24445	580644
101	24678	580176
102	24906	579622
103	25132	579005
104	25370	578696
105	25575	577629
106	25818	577410
107	26038	576694
108	26279	576468
109	26493	575621
110	26729	575290
111	26956	574751
112	27180	574151
113	27388	573231
114	27597	572352
115	27803	571417
116	28025	570807
117	28282	570916
118	28517	570586
119	28712	569462
120	28932	568845
121	29158	568357
122	29359	567379
123	29610	567375
124	29818	566542
125	30056	566309
126	30265	565513
127	30477	564794
128	30671	563740
129	30873	562843
130	31114	562672
131	31326	561974
132	31543	561379
133	31744	560503
134	31984	560319
135	32189	559524
136	32397	558793
137	32609	558143
138	32829	557627
139	33074	557543
140	33307	557248
141	33567	557413
142	33788	556917
143	33984	556025
144	34221	555798
145	34411	554822
146	34612	554041
147	34848	553816
148	35060	553195
149	35308	553167
150	35505	552340
151	35739	552086
152	35964	551691
153	36177	551117
154	36387	550506
155	36606	550030
156	36888	550504
157	37100	549938
158	37316	549423
159	37546	549123
160	37780	548872
161	38041	549015
162	38246	548361
163	38475	548047
164	38711	547820
165	38937	547469
166	39155	547004
167	39373	546544
168	39571	545807
169	39810	545637
170	40028	545183
171	40253	544827
172	40486	544578
173	40689	543927
174	40929	543780
175	41168	543612
176	41389	543210
177	41607	542769
178	41800	542009
179	41996	541293
180	42218	540911
181	42469	540901
182	42690	540508
183	42929	540346
184	43143	539880
185	43354	539368
186	43563	538837
187	43779	538391
188	43997	537974
189	44210	537506
190	44408	536854
191	44669	536960
192	44923	536983
193	45146	536641
194	45348	536039
195	45557	535528
196	45774	535118
197	46005	534877
198	46236	534619
199	46472	534430
200	46685	533980
201	46887	533405
202	47098	532931
203	47306	532433
204	47566	532516
205	47736	531587
206	47923	530864
207	48133	530393
208	48337	529863
209	48580	529755
210	48860	530051
211	49081	529711
212	49304	529385
213	49502	528795
214	49744	528675
215	49981	528512
216	50195	528094
217	50433	527930
218	50671	527772
219	50872	527228
220	51109	527055
221	51314	526555
222	51540	526268
223	51773	526054
224	51996	525746
225	52225	525494
226	52456	525253
227	52675	524902
228	52886	524475
229	53113	524205
230	53324	523780
231	53541	523415
232	53764	523106
233	53982	522751
