iter	Passed	Remaining
0	279	697816
1	531	664300
2	781	650116
3	1031	643631
4	1282	639809
5	1541	640574
6	1807	643824
7	2092	651909
8	2346	649332
9	2597	646739
10	2848	644624
11	3101	643091
12	3352	641416
13	3602	639691
14	3853	638373
15	4100	636671
16	4354	635948
17	4602	634658
18	4855	633965
19	5103	632852
20	5357	632444
21	5612	632138
22	5864	631598
23	6113	630746
24	6364	630107
25	6611	629078
26	6866	628876
27	7115	628194
28	7369	627899
29	7619	627319
30	7867	626612
31	8114	625856
32	8367	625557
33	8614	624815
34	8850	623359
35	9089	622099
36	9338	621665
37	9577	620525
38	9828	620202
39	10066	619105
40	10321	619064
41	10561	618087
42	10799	617064
43	11048	616734
44	11298	616416
45	11544	615889
46	11798	615756
47	12067	616438
48	12307	615636
49	12568	615871
50	12807	615022
51	13071	615365
52	13312	614632
53	13552	613886
54	13792	613158
55	14048	613097
56	14291	612533
57	14551	612663
58	14796	612179
59	15032	611330
60	15270	610562
61	15511	609956
62	15752	609330
63	16004	609158
64	16240	608380
65	16503	608642
66	16748	608194
67	16966	606785
68	17205	606190
69	17467	606369
70	17710	605886
71	17974	606146
72	18211	605479
73	18455	605056
74	18673	603761
75	18939	604067
76	19174	603379
77	19402	602477
78	19643	601984
79	19881	601429
80	20122	600938
81	20348	600032
82	20600	599908
83	20823	598921
84	21061	598406
85	21304	598025
86	21533	597254
87	21758	596371
88	22033	596884
89	22276	596515
90	22501	595661
91	22746	595352
92	22983	594859
93	23227	594515
94	23458	593859
95	23693	593313
96	23922	592644
97	24160	592170
98	24360	590802
99	24606	590548
100	24845	590139
101	25088	589831
102	25311	589043
103	25538	588374
104	25779	588024
105	25991	587026
106	26236	586767
107	26461	586076
108	26702	585732
109	26918	584872
110	27160	584570
111	27392	584056
112	27621	583476
113	27833	582551
114	28046	581669
115	28254	580676
116	28479	580061
117	28727	579899
118	28953	579310
119	29127	577700
120	29324	576545
121	29554	576076
122	29760	575129
123	30014	575110
124	30220	574196
125	30468	574060
126	30679	573245
127	30887	572383
128	31081	571279
129	31285	570358
130	31537	570316
131	31769	569919
132	32026	569974
133	32233	569145
134	32476	568945
135	32687	568178
136	32896	567406
137	33111	566735
138	33330	566146
139	33580	566077
140	33809	565645
141	34067	565717
142	34295	565284
143	34491	564323
144	34725	563990
145	34921	563045
146	35117	562121
147	35346	561725
148	35563	561133
149	35808	560993
150	36010	560194
151	36242	559847
152	36473	559504
153	36684	558845
154	36898	558242
155	37122	557786
156	37409	558282
157	37629	557781
158	37845	557214
159	38077	556877
160	38311	556589
161	38573	556701
162	38785	556086
163	39007	555614
164	39229	555156
165	39442	554565
166	39659	554041
167	39883	553616
168	40084	552886
169	40318	552607
170	40539	552141
171	40758	551667
172	40989	551346
173	41193	550672
174	41439	550548
175	41688	550477
176	41965	550761
177	42185	550313
178	42383	549569
179	42589	548931
180	42813	548530
181	43062	548449
182	43283	548021
183	43534	547969
184	43755	547536
185	43968	547002
186	44176	546414
187	44393	545947
188	44615	545535
189	44831	545054
190	45023	544286
191	45287	544395
192	45535	544301
193	45767	544014
194	45968	543370
195	46181	542862
196	46403	542474
197	46637	542222
198	46866	541907
199	47106	541726
200	47323	541272
201	47530	540718
202	47736	540146
203	47946	539630
204	48207	539691
205	48380	538764
206	48577	538106
207	48791	537650
208	49007	537208
209	49247	537035
210	49487	536860
211	49711	536510
212	49931	536119
213	50133	535535
214	50376	535395
215	50616	535219
216	50834	534814
217	51069	534590
218	51305	534373
219	51517	533907
220	51781	533981
221	52007	533664
222	52236	533369
223	52467	533106
224	52687	532733
225	52921	532492
226	53150	532203
227	53358	531711
228	53573	531286
229	53791	530903
230	53995	530373
231	54206	529912
232	54429	529573
233	54651	529229
234	54901	529159
235	55116	528740
236	55354	528550
237	55530	527772
238	55731	527238
239	55942	526794
240	56165	526466
241	56411	526351
242	56609	525797
243	56808	525243
244	56999	524623
245	57216	524251
246	57426	523813
247	57633	523345
248	57868	523143
249	58061	522555
250	58289	522286
251	58507	521921
252	58716	521483
253	58956	521320
254	59186	521073
255	59388	520574
256	59627	520407
257	59852	520110
258	60088	519912
259	60333	519797
260	60544	519386
261	60774	519135
262	61009	518928
263	61260	518859
264	61494	518643
265	61723	518387
266	61958	518181
267	62176	517824
268	62407	517591
269	62623	517223
270	62842	516888
271	63049	516450
272	63262	516063
273	63480	515718
274	63697	515372
275	63959	515384
276	64182	515084
277	64414	514853
278	64663	514755
279	64898	514554
280	65133	514345
281	65381	514245
282	65582	513771
283	65803	513450
284	66012	513047
285	66241	512791
286	66450	512389
287	66650	511914
288	66849	511429
289	67059	511036
290	67286	510778
291	67506	510460
292	67732	510188
293	67954	509892
294	68177	509595
295	68381	509167
296	68600	508841
297	68843	508706
298	69072	508458
299	69305	508240
300	69508	507807
301	69720	507436
302	69942	507138
303	70173	506907
304	70390	506578
305	70612	506286
306	70830	505963
307	71028	505501
308	71238	505125
309	71441	504701
310	71679	504521
311	71934	504461
312	72160	504201
313	72381	503904
314	72592	503538
315	72790	503083
316	72994	502671
317	73218	502398
318	73460	502248
319	73668	501863
320	73887	501562
321	74106	501251
322	74327	500961
323	74522	500496
324	74720	500051
325	74927	499672
326	75145	499362
327	75358	499020
328	75560	498606
329	75778	498301
330	76002	498034
331	76218	497713
332	76438	497422
333	76674	497234
334	76870	496791
