iter	Passed	Remaining
0	688	1720266
1	1340	1674370
2	1991	1657760
3	2644	1650097
4	3317	1655525
5	3977	1653139
6	4644	1654224
7	5317	1656256
8	5990	1658161
9	6656	1657440
10	7377	1669310
11	8033	1665607
12	8690	1662646
13	9358	1661720
14	10036	1662660
15	10697	1660858
16	11362	1659545
17	12021	1657617
18	12683	1656179
19	13343	1654556
20	14008	1653626
21	14665	1651832
22	15315	1649387
23	15976	1648234
24	16635	1646886
25	17351	1651018
26	18007	1649355
27	18661	1647565
28	19333	1647326
29	20009	1647460
30	20669	1646188
31	21328	1644981
32	21988	1643797
33	22653	1643073
34	23327	1642917
35	24006	1643135
36	24669	1642211
37	25333	1641366
38	25988	1639914
39	26641	1638465
40	27368	1641435
41	28034	1640689
42	28714	1640710
43	29366	1639167
44	30027	1638166
45	30684	1636972
46	31347	1636057
47	32018	1635621
48	32689	1635133
49	33380	1635647
50	34050	1635107
51	34720	1634556
52	35386	1633773
53	36074	1634057
54	36741	1633310
55	37476	1635566
56	38129	1634214
57	38786	1633029
58	39451	1632236
59	40130	1631963
60	40803	1631451
61	41466	1630570
62	42142	1630172
63	42817	1629737
64	43492	1629299
65	44149	1628168
66	44726	1624172
67	45379	1622988
68	45966	1619477
69	46634	1618885
70	47373	1620715
71	48064	1620836
72	48742	1620509
73	49421	1620229
74	50008	1616939
75	50600	1613876
76	51278	1613595
77	51943	1612908
78	52546	1610312
79	53131	1607241
80	53716	1604209
81	54291	1600941
82	54875	1597992
83	55450	1594854
84	56046	1592368
85	56620	1589330
86	57248	1587810
87	57941	1588122
88	58508	1584978
89	59075	1581910
90	59668	1579566
91	60309	1578536
92	60915	1576605
93	61466	1573274
94	62077	1571533
95	62676	1569536
96	63222	1566233
97	63829	1564475
98	64412	1562174
99	64966	1559185
100	65584	1557795
101	66115	1554366
102	66742	1553221
103	67377	1552271
104	67912	1549041
105	68470	1546403
106	69023	1543672
107	69581	1541109
108	70113	1538002
109	70737	1536937
110	71296	1534482
111	71860	1532175
112	72427	1529946
113	72972	1527310
114	73558	1525529
115	74133	1523580
116	74628	1519997
117	75151	1517040
118	75635	1513336
119	76094	1509200
120	76531	1504700
121	76965	1500189
122	77633	1500283
123	78189	1498204
124	78692	1495162
125	79160	1491479
126	79705	1489309
127	80146	1485208
128	80646	1482273
129	81179	1479962
130	81701	1477486
131	82156	1473837
132	82693	1471691
133	83204	1469119
134	83718	1466618
135	84155	1462822
136	84643	1459939
137	85060	1455896
138	85569	1453449
139	86094	1451311
140	86644	1449613
141	87270	1449182
142	87750	1446347
143	88365	1445756
144	88950	1444684
145	89479	1442699
146	90061	1441597
147	90554	1439078
148	91040	1436481
149	91583	1434806
150	92143	1433412
151	92664	1431415
152	93185	1429448
153	93693	1427306
154	94262	1426094
155	94751	1423707
156	95210	1420874
157	95674	1418165
158	96303	1417908
159	96795	1415627
160	97413	1415221
161	97920	1413195
162	98354	1410156
163	98827	1407695
164	99330	1405681
165	99795	1403146
166	100397	1402563
167	100827	1399583
168	101301	1397243
169	101787	1395085
170	102274	1392968
171	102884	1392529
172	103592	1393410
173	104128	1391977
174	104626	1390036
175	105130	1388202
176	105612	1386084
177	106164	1384913
178	106624	1382545
179	107162	1381206
180	107658	1379334
181	108156	1377514
182	108655	1375709
183	109072	1372891
184	109587	1371319
185	110119	1369981
186	110770	1370112
187	111312	1368908
188	111909	1368370
189	112498	1367743
190	112999	1366050
191	113548	1364943
192	114040	1363162
193	114564	1361784
194	115129	1360895
195	115708	1360163
196	116143	1357758
197	116677	1356519
198	117211	1355299
199	117766	1354319
200	118299	1353082
201	118842	1351979
202	119385	1350882
203	119847	1348868
204	120356	1347406
205	120900	1346336
206	121433	1345152
207	121844	1342633
208	122359	1341269
209	122866	1339834
210	123403	1338725
211	123868	1336849
212	124334	1334988
213	124955	1334808
214	125348	1332193
215	125858	1330833
216	126419	1330023
217	126893	1328303
218	127458	1327543
219	127850	1324994
220	128427	1324373
221	129075	1324481
222	129693	1324273
223	130299	1323934
224	130741	1321939
225	131257	1320708
226	131783	1319576
227	132312	1318478
228	132841	1317394
229	133346	1316070
230	133836	1314613
231	134324	1313136
232	134757	1311134
233	135185	1309106
234	135613	1307080
235	136138	1306007
236	136649	1304802
237	137373	1305621
238	137994	1305465
239	138423	1303491
240	138849	1301494
241	139344	1300164
242	139783	1298319
243	140215	1296420
244	140673	1294768
245	141199	1293756
246	141726	1292749
247	142202	1291293
248	142667	1289738
249	143132	1288190
250	143563	1286354
251	144107	1285528
252	144536	1283688
253	145041	1282528
254	145613	1281970
255	146069	1280393
256	146681	1280183
257	147383	1280752
258	147819	1279007
259	148451	1278964
260	148967	1277925
261	149509	1277105
262	150009	1275935
263	150604	1275574
264	151142	1274732
265	151735	1274353
266	152109	1272139
267	152551	1270501
268	153138	1270078
269	153697	1269429
270	154244	1268675
271	154730	1267423
272	155220	1266210
273	155766	1265462
274	156200	1263804
275	156715	1262809
276	157166	1261305
277	157651	1260078
278	158068	1258312
279	158483	1256549
280	159137	1256675
281	159711	1256168
282	160228	1255218
283	160669	1253672
284	161288	1253519
285	161777	1252359
286	162232	1250940
287	162780	1250247
288	163249	1248944
289	163725	1247701
290	164234	1246714
291	164782	1246027
292	165373	1245665
293	165940	1245119
294	166464	1244249
295	166834	1242237
296	167302	1240966
297	167863	1240387
298	168420	1239775
299	168901	1238613
300	169295	1236810
301	169687	1235013
302	170235	1234348
303	170740	1233373
304	171250	1232442
305	171700	1231084
306	172219	1230221
307	172809	1229862
308	173269	1228585
309	173717	1227228
310	174132	1225646
311	174627	1224630
312	175106	1223509
313	175563	1222237
314	176039	1221099
315	176623	1220713
316	177135	1219830
317	177566	1218394
318	178101	1217677
319	178535	1216273
320	179017	1215198
321	179430	1213662
322	179939	1212780
323	180454	1211943
324	181006	1211348
325	181477	1210221
326	182057	1209819
327	182634	1209399
328	183098	1208228
329	183649	1207632
330	184167	1206824
331	184579	1205326
332	185064	1204308
333	185517	1203087
334	186087	1202625
335	186636	1202030
336	187167	1201317
337	187742	1200882
338	188169	1199511
339	188790	1199376
340	189141	1197528
341	189596	1196343
342	190049	1195150
343	190474	1193790
344	190894	1192402
345	191459	1191916
346	191851	1190365
347	192305	1189200
348	192743	1187937
349	193168	1186609
350	193733	1186136
351	194207	1185109
352	194771	1184630
353	195277	1183800
354	195783	1182976
355	196245	1181881
356	196589	1180090
357	196998	1178691
358	197360	1177014
359	197796	1175787
360	198224	1174520
361	198798	1174121
362	199321	1173417
363	199805	1172483
364	200358	1171957
365	200810	1170848
366	201245	1169636
367	201744	1168803
368	202148	1167423
369	202516	1165838
370	203096	1165480
371	203651	1164973
372	204208	1164479
373	204677	1163487
374	205156	1162555
375	205632	1161602
376	206287	1161664
377	206833	1161111
378	207400	1160674
379	207870	1159696
380	208279	1158383
381	208681	1157033
382	209192	1156296
383	209724	1155671
384	210229	1154894
385	210537	1153049
386	211069	1152429
387	211499	1151252
388	212010	1150526
389	212448	1149399
390	212960	1148679
391	213411	1147629
392	213799	1146247
393	214159	1144722
394	214750	1144432
395	215168	1143217
396	215656	1142380
397	216092	1141273
398	216468	1139849
399	216956	1139022
400	217399	1137957
401	217855	1136967
402	218289	1135861
403	218771	1135011
404	219238	1134084
405	219702	1133146
406	220227	1132519
407	220605	1131145
408	220985	1129780
409	221463	1128925
410	221849	1127599
411	222210	1126156
412	222725	1125491
413	223240	1124827
414	223768	1124233
415	224277	1123546
416	224681	1122328
417	225204	1121713
418	225685	1120885
419	226177	1120118
420	226775	1119871
421	227274	1119135
422	227630	1117702
423	228049	1116582
424	228538	1115805
425	228896	1114395
426	229489	1114124
427	229918	1113065
428	230334	1111940
429	230759	1110864
430	231364	1110655
431	231932	1110267
432	232443	1109610
433	232907	1108725
434	233290	1107461
435	233735	1106492
436	234210	1105666
437	234697	1104902
438	235272	1104546
439	235708	1103543
440	236182	1102721
441	236747	1102322
442	237257	1101667
443	237714	1100766
444	238125	1099660
445	238527	1098510
446	238947	1097447
447	239446	1096749
448	239881	1095761
449	240274	1094583
450	240827	1094136
451	241279	1093231
452	241730	1092321
453	242290	1091908
454	242823	1091371
455	243266	1090433
456	243766	1089750
457	244319	1089301
458	244899	1088976
459	245364	1088139
460	245868	1087473
461	246318	1086572
462	246762	1085646
463	247261	1084967
464	247730	1084152
465	248354	1084020
466	248712	1082725
467	249280	1082345
468	249926	1082305
469	250437	1081677
470	250816	1080479
471	251174	1079197
472	251615	1078276
473	252144	1077732
