iter	Passed	Remaining
0	375	937430
1	680	849534
2	980	816161
3	1273	794624
4	1568	782781
5	1864	775000
6	2161	769685
7	2469	769346
8	2768	766372
9	3068	763941
10	3375	763691
11	3669	760717
12	3972	759901
13	4263	757164
14	4553	754295
15	4854	753616
16	5169	755097
17	5494	757622
18	5791	756269
19	6081	754154
20	6375	752604
21	6669	751207
22	6963	749890
23	7253	748330
24	7555	747963
25	7854	747413
26	8154	746879
27	8456	746592
28	8758	746260
29	9058	745823
30	9357	745266
31	9659	744977
32	9949	743809
33	10249	743359
34	10547	742832
35	10858	743203
36	11164	743221
37	11456	742275
38	11758	742009
39	12058	741612
40	12351	740769
41	12639	739736
42	12936	739205
43	13231	738556
44	13521	737652
45	13820	737273
46	14108	736325
47	14397	735465
48	14697	735151
49	15006	735301
50	15337	736518
51	15631	735886
52	15923	735192
53	16226	735017
54	16526	734680
55	16816	733936
56	17110	733367
57	17400	732608
58	17695	732131
59	17992	731685
60	18288	731223
61	18603	731539
62	18903	731229
63	19183	730187
64	19482	729851
65	19784	729628
66	20087	729454
67	20361	728214
68	20636	727066
69	20920	726257
70	21205	725453
71	21502	725111
72	21799	724764
73	22090	724204
74	22364	723111
75	22649	722393
76	22925	721419
77	23202	720469
78	23503	720281
79	23801	719980
80	24079	719101
81	24346	717936
82	24609	716653
83	24874	715452
84	25157	714776
85	25464	714770
86	25733	713731
87	25996	712543
88	26280	711949
89	26574	711611
90	26840	710535
91	27153	710718
92	27409	709412
93	27722	709583
94	27993	708679
95	28291	708463
96	28563	707596
97	28847	707058
98	29112	706054
99	29389	705347
100	29678	704941
101	29928	703613
102	30204	702921
103	30468	701955
104	30735	701062
105	31041	701061
106	31281	699585
107	31561	699025
108	31820	698004
109	32099	697428
110	32390	697133
111	32643	696014
112	32907	695135
113	33178	694418
114	33464	694025
115	33716	692928
116	33977	692034
117	34263	691653
118	34550	691290
119	34836	690914
120	35172	691535
121	35434	690681
122	35689	689703
123	35970	689234
124	36237	688512
125	36513	687968
126	36789	687421
127	37054	686671
128	37320	685941
129	37588	685267
130	37866	684781
131	38139	684191
132	38384	683136
133	38656	682545
134	38912	681696
135	39188	681189
136	39442	680309
137	39710	679689
138	40004	679504
139	40312	679545
140	40545	678347
141	40830	678013
142	41066	676879
143	41349	676521
144	41627	676084
145	41920	675891
146	42168	674982
147	42428	674272
148	42712	673946
149	42939	672718
150	43213	672249
151	43503	672008
152	43734	670882
153	43998	670267
154	44244	669380
155	44501	668665
156	44779	668275
157	45063	667964
158	45395	668371
159	45681	668084
160	45923	667176
161	46180	666480
162	46467	666226
163	46752	665936
164	47020	665412
165	47360	665905
166	47652	665703
167	47877	664583
168	48130	663861
169	48407	663470
170	48695	663230
171	48974	662866
172	49258	662563
173	49506	661792
174	49782	661395
175	50030	660633
176	50286	659980
177	50574	659746
178	50849	659333
179	51072	658263
180	51358	658008
181	51642	657731
182	51923	657414
183	52206	657118
184	52444	656261
185	52703	655680
186	52958	655044
187	53267	655079
188	53564	654961
189	53835	654521
190	54083	653814
191	54324	653025
192	54584	652467
193	54863	652143
194	55197	652465
195	55480	652176
196	55729	651496
197	55979	650834
198	56269	650631
199	56529	650085
200	56795	649610
201	57037	648875
202	57292	648275
203	57530	647496
204	57762	646653
205	58026	646180
206	58277	645557
207	58534	645002
208	58791	644456
209	59038	643799
210	59313	643449
211	59586	643084
212	59858	642702
213	60137	642403
214	60389	641818
215	60629	641102
216	60864	640343
217	61106	639650
218	61377	639281
219	61617	638577
220	61880	638128
221	62118	637413
222	62368	636828
223	62633	636404
224	62882	635808
225	63159	635503
226	63395	634795
227	63625	634018
228	63878	633481
229	64118	632822
230	64366	632240
231	64633	631844
232	64934	631786
233	65222	631599
234	65505	631357
235	65793	631169
236	66081	630979
237	66314	630263
238	66582	629884
239	66839	629406
240	67126	629210
241	67383	628725
242	67634	628192
243	67906	627854
244	68156	627319
245	68430	627003
246	68707	626716
247	68959	626198
248	69190	625491
249	69440	624963
250	69727	624769
251	69985	624315
252	70220	623657
253	70505	623446
254	70760	622973
255	71026	622593
256	71294	622230
257	71547	621742
258	71788	621154
259	72034	620600
260	72265	619930
261	72527	619527
262	72776	619013
263	73061	618805
264	73298	618198
265	73545	617673
266	73791	617143
267	74069	616877
268	74312	616321
269	74604	616181
270	74863	615760
271	75172	615747
272	75461	615580
273	75724	615188
274	76005	614951
275	76282	614679
276	76562	614437
277	76816	613978
278	77095	613724
279	77364	613391
280	77648	613175
281	77914	612819
282	78146	612190
283	78402	611757
284	78612	610968
285	78870	610555
286	79098	609911
287	79368	609596
288	79612	609074
289	79858	608574
290	80117	608178
291	80386	607857
292	80635	607379
293	80894	606980
294	81145	606526
295	81376	605925
296	81595	605235
297	81859	604877
298	82144	604680
299	82404	604300
300	82648	603798
301	82887	603270
302	83136	602810
303	83365	602206
304	83628	601852
305	83904	601587
306	84167	601233
307	84407	600715
308	84653	600244
309	84921	599930
310	85187	599601
311	85476	599430
312	85714	598905
313	85980	598575
314	86261	598354
315	86503	597859
316	86745	597364
317	86979	596819
318	87220	596323
319	87470	595889
320	87720	595458
321	87975	595065
322	88235	594699
323	88489	594301
324	88741	593888
325	88984	593414
326	89216	592869
327	89468	592457
328	89726	592082
329	89938	591412
330	90164	590837
331	90445	590621
332	90714	590327
333	90949	589808
334	91182	589280
335	91419	588782
336	91678	588429
337	91924	587992
338	92166	587530
339	92391	586954
340	92645	586574
341	92913	586276
342	93155	585818
343	93391	585327
344	93623	584809
345	93893	584524
346	94155	584200
347	94369	583569
348	94598	583044
349	94857	582693
350	95166	582655
351	95413	582236
352	95682	581958
353	95949	581658
354	96175	581117
355	96443	580830
356	96698	580461
357	96948	580066
358	97195	579651
359	97440	579229
360	97707	578937
361	97943	578462
362	98202	578121
363	98443	577677
364	98713	577407
365	98964	577025
366	99232	576740
367	99472	576291
368	99707	575820
369	99932	575287
370	100184	574910
371	100455	574648
372	100701	574239
373	100934	573761
374	101200	573470
375	101472	573211
376	101751	572991
377	101984	572513
378	102226	572088
379	102514	571923
380	102777	571617
381	103028	571243
382	103259	570759
383	103482	570233
384	103709	569726
385	103945	569274
386	104183	568834
387	104402	568291
388	104666	567995
389	104906	567569
390	105172	567287
391	105401	566800
392	105674	566556
393	105910	566111
394	106189	565897
395	106459	565630
396	106718	565310
397	106972	564966
398	107217	564569
399	107450	564116
400	107743	563975
401	107970	563485
402	108222	563131
403	108493	562878
404	108719	562386
405	108968	562019
406	109170	561411
407	109419	561045
408	109665	560662
409	109916	560307
410	110192	560079
411	110417	559593
412	110636	559076
413	110893	558752
414	111144	558401
415	111405	558100
416	111638	557659
417	111895	557333
418	112116	556835
419	112363	556465
420	112609	556093
421	112857	555727
422	113101	555349
423	113324	554861
424	113569	554486
425	113795	554020
426	114045	553666
