iter	Passed	Remaining
0	313	782570
1	609	761458
2	910	758100
3	1200	748808
4	1494	745846
5	1801	748622
6	2090	744686
7	2387	743760
8	2684	743034
9	2983	742893
10	3281	742440
11	3569	740126
12	3874	741282
13	4196	745103
14	4517	748434
15	4814	747461
16	5111	746582
17	5403	745073
18	5697	744019
19	5982	741865
20	6274	740706
21	6567	739687
22	6860	738896
23	7154	738150
24	7455	738083
25	7745	736992
26	8038	736289
27	8330	735486
28	8623	734782
29	8925	734832
30	9255	737143
31	9556	737037
32	9847	736183
33	10147	735978
34	10441	735355
35	10748	735695
36	11044	735175
37	11331	734138
38	11627	733711
39	11931	733794
40	12221	732984
41	12515	732445
42	12813	732130
43	13112	731942
44	13401	731141
45	13696	730684
46	13991	730247
47	14271	729031
48	14566	728600
49	14865	728421
50	15151	727577
51	15444	727098
52	15746	726991
53	16049	726967
54	16352	726925
55	16652	726747
56	16946	726317
57	17235	725676
58	17530	725286
59	17826	724957
60	18118	724428
61	18422	724410
62	18724	724304
63	19065	725689
64	19377	725907
65	19672	725496
66	19972	725273
67	20232	723607
68	20510	722632
69	20778	721315
70	21086	721410
71	21379	720951
72	21663	720245
73	21939	719271
74	22209	718105
75	22503	717753
76	22781	716877
77	23049	715703
78	23346	715465
79	23651	715467
80	23930	714657
81	24202	713665
82	24504	713572
83	24788	712965
84	25067	712206
85	25341	711335
86	25614	710422
87	25900	709909
88	26187	709429
89	26463	708643
90	26764	708536
91	27035	707621
92	27336	707522
93	27632	707271
94	27920	706820
95	28199	706161
96	28461	705071
97	28726	704087
98	29028	704014
99	29354	704504
100	29647	704205
101	29932	703706
102	30222	703344
103	30473	702064
104	30736	701096
105	31020	700586
106	31242	698729
107	31537	698496
108	31796	697484
109	32035	696038
110	32315	695510
111	32564	694332
112	32837	693652
113	33104	692881
114	33401	692721
115	33677	692125
116	33921	690894
117	34168	689743
118	34429	688871
119	34711	688437
120	34976	687670
121	35202	686152
122	35456	685205
123	35721	684461
124	35972	683471
125	36229	682606
126	36488	681784
127	36751	681058
128	37031	680634
129	37309	680181
130	37618	680286
131	37881	679578
132	38135	678691
133	38356	677246
134	38623	676620
135	38912	676388
136	39231	676675
137	39489	675891
138	39742	675044
139	40028	674762
