iter	Passed	Remaining
0	99	296987
1	195	293691
2	288	288371
3	380	285280
4	473	283495
5	564	281871
6	656	280693
7	747	279554
8	840	279430
9	932	278750
10	1025	278524
11	1117	278319
12	1209	277816
13	1300	277302
14	1391	276861
15	1482	276395
16	1572	276005
17	1664	275711
18	1754	275318
19	1845	275045
20	1937	274858
21	2030	274789
22	2121	274550
23	2212	274289
24	2304	274230
25	2396	274115
26	2488	273975
27	2579	273836
28	2671	273645
29	2762	273504
30	2853	273308
31	2945	273191
32	3038	273155
33	3128	272945
34	3220	272811
35	3313	272792
36	3406	272771
37	3483	271525
38	3574	271387
39	3653	270388
40	3745	270333
41	3838	270352
42	3929	270222
43	4005	269121
44	4084	268231
45	4172	267940
46	4237	266234
47	4329	266245
48	4420	266218
49	4484	264592
50	4561	263775
51	4639	263007
52	4731	263096
53	4823	263123
54	4901	262436
55	4978	261736
56	5056	261088
57	5128	260119
58	5215	259975
59	5302	259807
60	5375	258978
61	5438	257704
62	5523	257516
63	5600	256936
64	5686	256773
65	5770	256504
66	5856	256367
67	5920	255260
68	6006	255152
69	6088	254866
70	6166	254388
71	6253	254325
72	6330	253818
73	6394	252830
74	6462	252018
75	6542	251710
76	6619	251267
77	6696	250851
78	6790	251069
79	6862	250484
80	6947	250361
81	7033	250282
82	7105	249711
83	7183	249386
84	7269	249297
85	7344	248875
86	7418	248383
87	7491	247885
88	7558	247214
89	7628	246641
90	7710	246481
91	7771	245632
92	7841	245123
93	7906	244421
94	7985	244201
95	8069	244111
96	8146	243803
97	8227	243641
98	8292	242980
99	8372	242805
100	8452	242619
101	8517	242008
102	8581	241368
103	8646	240779
104	8732	240754
105	8805	240400
106	8880	240102
107	8950	239667
108	9036	239675
109	9093	238898
110	9182	238996
111	9262	238849
112	9330	238380
113	9408	238178
114	9486	237985
115	9553	237512
116	9636	237465
117	9709	237132
118	9788	236983
119	9854	236510
120	9919	236007
121	10001	235932
122	10068	235494
123	10139	235178
124	10206	234758
125	10275	234368
126	10334	233779
127	10391	233152
128	10473	233088
129	10542	232738
130	10608	232332
131	10681	232080
132	10742	231570
133	10816	231343
134	10891	231138
135	10955	230704
136	11019	230273
137	11077	229731
138	11154	229598
139	11236	229537
140	11303	229206
141	11374	228928
142	11439	228554
143	11501	228105
144	11574	227893
145	11657	227874
146	11721	227494
147	11797	227337
148	11877	227261
149	11955	227149
150	12014	226683
151	12081	226362
152	12143	225960
153	12229	226007
154	12295	225686
155	12371	225536
156	12447	225402
157	12521	225222
158	12582	224814
159	12659	224697
160	12723	224362
161	12800	224248
162	12876	224111
163	12938	223746
164	13001	223388
165	13066	223080
166	13115	222493
167	13187	222310
168	13276	222398
169	13346	222181
170	13426	222121
171	13503	222023
172	13588	222045
173	13660	221858
174	13733	221690
175	13790	221271
176	13865	221146
177	13925	220767
178	13988	220459
179	14057	220238
180	14115	219838
181	14192	219755
182	14266	219606
183	14333	219360
184	14404	219185
185	14472	218950
186	14542	218761
187	14604	218446
188	14652	217929
189	14720	217703
190	14787	217481
191	14846	217136
192	14916	216945
193	14980	216670
194	15064	216703
195	15142	216626
196	15202	216313
197	15270	216096
198	15336	215863
199	15396	215554
200	15456	215243
201	15509	214825
202	15591	214825
203	15651	214520
204	15726	214424
205	15782	214057
206	15843	213770
207	15910	213572
208	15984	213459
209	16046	213194
210	16121	213097
211	16197	213008
212	16273	212924
213	16336	212681
214	16405	212504
215	16468	212257
216	16526	211948
217	16582	211613
218	16646	211392
219	16726	211361
220	16791	211151
221	16875	211167
222	16938	210929
223	17013	210841
224	17061	210425
225	17123	210179
226	17183	209910
227	17263	209891
228	17318	209559
229	17383	209351
230	17428	208920
231	17504	208848
232	17579	208765
233	17621	208290
234	17697	208229
235	17772	208151
236	17851	208113
237	17914	207898
238	17995	207892
239	18052	207603
240	18125	207500
241	18185	207252
