iter	MultiClass
0	1.00991162
1	0.9333717421
2	0.8664630026
3	0.8073281447
4	0.7546527465
5	0.7073877
6	0.6647400237
7	0.6260672432
8	0.5908465615
9	0.5586549442
10	0.529136749
11	0.5019843341
12	0.4769568948
13	0.4538244783
14	0.4324097873
15	0.4125478565
16	0.3940910461
17	0.376820779
18	0.3607320918
19	0.3458050383
20	0.3318597008
21	0.3187364164
22	0.3065413907
23	0.2950340965
24	0.2843241922
25	0.2742047542
26	0.264709201
27	0.2557759827
28	0.2474446989
29	0.239543417
30	0.2321132471
31	0.225163438
32	0.2185705044
33	0.2123636722
34	0.206513546
35	0.2010357561
36	0.1958388638
37	0.1911301628
38	0.1865060564
39	0.1822709031
40	0.1781072728
41	0.1741944049
42	0.1706214567
43	0.1672212429
44	0.1639697787
45	0.1608893841
46	0.1579750802
47	0.1549972072
48	0.1521879838
49	0.1496853539
50	0.1473527764
51	0.1451147511
52	0.1429318788
53	0.1408637362
54	0.1389636267
55	0.1370227614
56	0.1352005258
57	0.1335090356
58	0.1318834576
59	0.130413134
60	0.1289447681
61	0.127602924
62	0.1262363475
63	0.1249861116
64	0.1238290175
65	0.1225753442
66	0.1214005004
67	0.1204108536
68	0.119342331
69	0.1183421947
70	0.1174938908
71	0.1165671119
72	0.1157760958
73	0.1149909758
74	0.1143108282
75	0.113582549
76	0.1129405213
77	0.1122832257
78	0.1117528142
79	0.1111661784
80	0.1106593972
81	0.1099902402
82	0.1094584799
83	0.1090134645
84	0.1085275622
85	0.1081263161
86	0.1077085381
87	0.107251114
88	0.1068704848
89	0.1064546104
90	0.1061657897
91	0.1058751886
92	0.1055259432
93	0.1051856613
94	0.1048426202
95	0.1045522427
96	0.1042240303
97	0.1038522952
98	0.1035613242
99	0.1033157102
100	0.1029726999
101	0.1027172207
102	0.1024119296
103	0.1022105166
104	0.101974976
105	0.1016412684
106	0.1014380518
107	0.1011513429
108	0.1009258217
109	0.1007311371
110	0.1004970608
111	0.1002848422
112	0.1000684001
113	0.0998050518
114	0.09955353408
115	0.09935262973
116	0.0991493978
117	0.09897575392
118	0.09877962805
119	0.09854018756
120	0.09831231562
121	0.09809387732
122	0.09789969368
123	0.09775904445
124	0.09763146668
125	0.0974526975
126	0.09733089244
127	0.09720479446
128	0.09704523169
129	0.09691017791
130	0.09677563281
131	0.09662427824
132	0.09649570624
133	0.09630103704
134	0.09615167864
135	0.09592496278
136	0.09572922228
137	0.09561301268
138	0.09541027401
139	0.09514883708
140	0.09502389519
141	0.09490838694
142	0.09476794581
143	0.09461585905
144	0.09446668562
145	0.09435666493
146	0.09424466347
147	0.09412074663
148	0.09395622041
149	0.09385937907
150	0.093771771
151	0.09367925341
152	0.09355961409
153	0.0934115351
154	0.09328926761
155	0.0931789155
156	0.09306578879
157	0.09294930943
158	0.09284353541
159	0.09272858209
160	0.09261389851
161	0.09250835572
162	0.09236090871
163	0.09214045883
164	0.09204603756
165	0.09187082141
166	0.09178005337
167	0.09169521219
168	0.09160227842
169	0.09150262394
170	0.0913274155
171	0.09119015745
172	0.09097763831
173	0.09087136332
174	0.09066702926
175	0.09057257716
176	0.09045868743
177	0.09032428877
178	0.09022547438
179	0.09014246752
180	0.09007706397
181	0.08999028827
182	0.08990497695
183	0.08978773458
184	0.08967600288
185	0.0895600322
186	0.08941703226
187	0.08933749365
188	0.0892740015
189	0.08917403103
190	0.08906575987
191	0.0889483094
192	0.08883626941
193	0.0887398828
194	0.08863537277
195	0.08851720553
196	0.08845670378
197	0.088391701
198	0.08828094041
199	0.08816158626
200	0.08808055245
201	0.08803503355
202	0.08788374835
203	0.08784375553
204	0.08775894518
205	0.08769331812
206	0.08764484736
207	0.08753934309
208	0.08743681382
209	0.08734354093
210	0.08724302325
211	0.08715840558
212	0.08708481695
213	0.0869916982
214	0.08692395937
215	0.08687553484
216	0.08681306775
217	0.08671089301
218	0.08657973138
219	0.08649183043
220	0.08643333256
221	0.08636143182
222	0.08630263336
223	0.08620936047
224	0.08615841569
225	0.08608105052
226	0.08601775104
227	0.0859308212
228	0.08585682409
229	0.0856989415
230	0.08565671359
231	0.08560728713
232	0.08554188358
233	0.085490407
234	0.08542674528
235	0.08536739962
236	0.08528741399
237	0.0852032048
238	0.0851009684
239	0.08505272115
240	0.08495027666
241	0.08488982886
242	0.08481063707
243	0.08475134536
244	0.08469046595
245	0.08462070782
246	0.08456432944
247	0.08448237847
248	0.08440465106
249	0.08436053488
250	0.08429014475
251	0.08425614046
252	0.0841908294
253	0.08414068616
254	0.08397437957
255	0.08391384699
256	0.08384697136
257	0.08375145566
258	0.08369613317
259	0.08360446339
260	0.08351902104
261	0.08338818312
262	0.08334192432
263	0.08325003874
264	0.08322326382
265	0.08317341346
266	0.08313248037
267	0.08299223962
268	0.08296145695
269	0.08293849711
270	0.08287240762
271	0.0828179098
272	0.08278782848
273	0.08276217112
274	0.08266327195
275	0.08257049232
276	0.0825248424
277	0.08245817487
278	0.0824002088
279	0.08232403054
280	0.08227252313
281	0.08220849917
282	0.08215360058
283	0.0820989255
284	0.08205849337
285	0.08196454995
286	0.08193363625
287	0.08175082077
288	0.08170030759
289	0.08163286163
290	0.08159487269
291	0.08155282976
292	0.08151312211
293	0.08145614257
294	0.08140794155
295	0.08132460328
296	0.08128268366
297	0.08121573867
298	0.08118662846
299	0.08115623115
300	0.08111300901
301	0.0810417865
302	0.08099760866
303	0.08092499115
304	0.08086764936
305	0.08069983986
306	0.08066439431
307	0.08061254778
308	0.08056450091
309	0.08051138268
310	0.08046880795
311	0.08041858764
312	0.08039515766
313	0.08035257522
314	0.08032835911
315	0.08029299834
316	0.08024187629
317	0.0801930587
318	0.08014858028
319	0.08012042577
320	0.08008717678
321	0.08004497199
322	0.08000185004
323	0.07997331017
324	0.07994019221
325	0.07991293174
326	0.07983337001
327	0.07980504594
328	0.07973347661
329	0.0796535064
330	0.07959911648
331	0.07957534738
332	0.07954679981
333	0.07951983221
334	0.07947366591
335	0.07936382248
336	0.07930934778
337	0.07925035664
338	0.07920064501
339	0.07916505303
340	0.07910365724
341	0.07905601115
342	0.07903355999
343	0.0789884727
344	0.0789498826
345	0.07890005536
346	0.07878105574
347	0.07871452694
348	0.07866170159
349	0.07859403211
350	0.07855265971
351	0.07845535594
352	0.07840579845
