iter	Passed	Remaining
0	99	299068
1	193	289533
2	285	285302
3	377	283062
4	469	280965
5	560	279565
6	652	278994
7	743	277957
8	833	277086
9	924	276280
10	1013	275433
11	1103	274826
12	1194	274532
13	1284	274049
14	1375	273757
15	1465	273387
16	1556	273046
17	1646	272792
18	1737	272552
19	1827	272315
20	1917	272078
21	2008	271938
22	2099	271808
23	2191	271726
24	2283	271710
25	2376	271782
26	2467	271664
27	2558	271521
28	2648	271295
29	2738	271117
30	2828	270928
31	2918	270735
32	3009	270563
33	3099	270400
34	3190	270251
35	3282	270276
36	3374	270234
37	3451	269006
38	3541	268896
39	3619	267865
40	3711	267849
41	3802	267831
42	3893	267777
43	3970	266746
44	4048	265859
45	4134	265529
46	4198	263804
47	4289	263780
48	4380	263788
49	4443	262182
50	4519	261361
51	4598	260709
52	4690	260833
53	4781	260834
54	4857	260116
55	4935	259463
56	5012	258819
57	5084	257899
58	5171	257774
59	5256	257555
60	5328	256750
61	5391	255498
62	5476	255287
63	5552	254721
64	5636	254522
65	5718	254194
66	5803	254062
67	5866	252930
68	5950	252781
69	6033	252543
70	6110	252084
71	6198	252056
72	6274	251591
73	6338	250616
74	6405	249830
75	6486	249564
76	6563	249146
77	6639	248740
78	6732	248925
79	6804	248368
80	6887	248222
81	6973	248146
82	7045	247610
83	7122	247262
84	7208	247208
85	7284	246823
86	7358	246378
87	7431	245910
88	7498	245245
89	7568	244714
90	7649	244540
91	7710	243713
92	7780	243193
93	7843	242489
94	7922	242273
95	8005	242178
96	8082	241888
97	8163	241736
98	8227	241096
99	8307	240922
100	8387	240752
101	8452	240143
102	8516	239532
103	8580	238947
104	8666	238937
105	8738	238588
106	8812	238267
107	8882	237844
108	8967	237846
109	9024	237087
110	9113	237186
111	9193	237061
112	9260	236605
113	9338	236410
114	9415	236210
115	9482	235744
116	9564	235687
117	9637	235372
118	9716	235231
119	9782	234789
120	9847	234295
121	9928	234218
122	9994	233777
123	10065	233462
124	10132	233058
125	10201	232686
126	10259	232087
127	10315	231461
128	10396	231389
129	10464	231024
130	10530	230632
131	10603	230394
132	10665	229899
133	10739	229699
134	10813	229489
135	10877	229062
136	10938	228600
137	10996	228052
138	11072	227902
139	11153	227849
140	11221	227527
141	11291	227261
142	11356	226884
143	11418	226458
144	11490	226249
145	11573	226245
146	11637	225853
147	11711	225685
148	11790	225606
149	11868	225506
150	11927	225038
151	11993	224725
152	12055	224331
153	12142	224402
154	12209	224104
155	12283	223941
156	12362	223871
157	12436	223702
158	12496	223280
159	12572	223162
160	12636	222824
161	12712	222706
162	12788	222578
163	12851	222232
164	12913	221878
165	12978	221565
166	13025	220973
167	13098	220795
168	13186	220885
169	13255	220659
170	13335	220618
171	13412	220520
172	13496	220549
173	13568	220364
174	13640	220202
175	13697	219778
176	13771	219637
177	13829	219259
178	13891	218928
179	13958	218684
180	14014	218273
181	14090	218171
182	14163	218026
183	14228	217765
184	14299	217585
185	14365	217338
186	14435	217144
187	14495	216816
188	14543	216302
189	14611	216099
190	14679	215887
191	14739	215558
192	14807	215361
193	14871	215106
194	14956	215141
195	15033	215068
196	15093	214755
197	15160	214545
198	15226	214312
199	15286	214007
200	15346	213705
201	15398	213289
202	15479	213285
203	15539	212976
204	15614	212889
205	15669	212525
206	15730	212244
207	15797	212052
208	15871	211942
209	15932	211676
210	16006	211567
211	16081	211482
212	16155	211385
213	16218	211147
214	16286	210972
215	16350	210736
216	16408	210435
217	16463	210104
218	16527	209876
219	16605	209837
220	16670	209630
221	16754	209653
222	16817	209422
223	16891	209338
224	16939	208925
225	17001	208679
226	17060	208408
227	17140	208389
228	17193	208054
229	17257	207834
230	17301	207398
231	17376	207319
232	17451	207242
233	17492	206771
234	17568	206707
235	17641	206619
236	17720	206586
237	17782	206371
238	17863	206361
239	17920	206090
240	17994	206000
241	18053	205749
242	18130	205704
243	18203	205605
244	18273	205486
245	18360	205549
246	18419	205300
247	18505	205350
248	18576	205231
249	18628	204909
250	18685	204643
251	18734	204294
252	18814	204287
253	18893	204261
254	18959	204096
255	19030	203978
256	19094	203793
257	19177	203820
258	19238	203600
259	19312	203524
260	19373	203308
261	19448	203248
262	19510	203041
263	19573	202848
264	19633	202631
265	19692	202408
266	19743	202098
267	19813	201976
268	19859	201621
269	19901	201229
270	19963	201038
271	20020	200791
272	20064	200425
273	20114	200120
274	20192	200087
275	20268	200038
276	20332	199873
277	20397	199715
278	20467	199614
279	20526	199397
280	20581	199154
281	20628	198824
282	20698	198719
283	20764	198576
284	20832	198455
285	20919	198514
286	20966	198193
287	21035	198085
288	21099	197929
289	21181	197940
290	21234	197679
291	21288	197425
292	21342	197180
293	21411	197077
294	21466	196838
295	21531	196689
296	21596	196550
297	21652	196322
298	21700	196028
299	21743	195688
300	21793	195417
301	21867	195361
302	21927	195172
303	21990	195025
304	22070	195011
305	22142	194936
306	22201	194748
307	22268	194628
308	22349	194635
309	22402	194395
310	22471	194291
311	22547	194255
312	22599	194009
313	22659	193832
314	22706	193546
315	22755	193280
316	22814	193091
317	22881	192983
318	22942	192815
319	22990	192544
320	23037	192268
321	23100	192118
322	23174	192065
323	23223	191810
324	23281	191625
325	23337	191427
326	23422	191464
327	23480	191276
328	23549	191186
329	23617	191089
330	23679	190936
331	23724	190653
332	23777	190436
333	23833	190242
334	23896	190100
335	23961	189982
336	24023	189832
337	24101	189820
338	24177	189785
339	24232	189584
340	24302	189504
341	24350	189252
342	24392	188952
343	24460	188861
344	24515	188665
345	24582	188559
346	24659	188538
347	24723	188409
348	24803	188409
349	24864	188262
350	24921	188082
351	24991	188005
352	25045	187804
353	25094	187573
354	25142	187326
355	25198	187148
356	25256	186980
357	25316	186829
358	25405	186899
359	25464	186740
360	25521	186571
361	25595	186522
362	25650	186337
363	25719	186251
364	25765	186005
365	25817	185800
366	25872	185621
367	25941	185536
368	26012	185470
369	26063	185259
370	26124	185125
371	26189	185016
372	26273	185043
373	26350	185014
374	26400	184803
375	26453	184611
376	26507	184426
377	26567	184282
378	26627	184144
379	26713	184182
380	26770	184021
381	26832	183895
382	26894	183764
383	26943	183555
384	27002	183403
385	27070	183318
386	27132	183196
387	27186	183020
388	27246	182878
389	27308	182758
390	27369	182627
391	27426	182467
392	27476	182269
393	27551	182228
394	27603	182046
395	27667	181934
396	27725	181786
397	27799	181745
398	27842	181496
399	27885	181256
400	27941	181096
401	28011	181028
402	28067	180872
403	28136	180795
404	28176	180536
405	28246	180473
406	28317	180412
407	28382	180314
408	28445	180198
409	28496	180017
410	28541	179791
411	28595	179623
412	28652	179475
413	28713	179353
414	28760	179148
415	28824	179042
416	28886	178927
417	28955	178859
418	29012	178713
419	29069	178568
420	29133	178465
421	29181	178267
422	29252	178209
423	29304	178037
424	29368	177938
425	29421	177772
426	29499	177756
427	29560	177637
428	29636	177609
429	29690	177453
430	29737	177250
431	29800	177147
432	29857	177009
433	29910	176842
434	29979	176774
435	30045	176692
436	30104	176563
437	30164	176442
438	30229	176351
439	30312	176362
440	30379	176282
441	30433	176130
442	30506	176085
443	30569	175982
444	30637	175906
445	30720	175920
446	30781	175804
447	30855	175768
448	30919	175671
449	30972	175509
450	31046	175471
451	31104	175343
452	31162	175208
453	31219	175076
454	31272	174919
455	31331	174795
456	31382	174631
457	31436	174480
458	31509	174432
459	31568	174310
460	31619	174146
461	31658	173917
462	31726	173843
463	31778	173687
464	31846	173615
465	31892	173425
466	31947	173280
467	32011	173188
468	32067	173053
469	32124	172923
470	32192	172856
471	32254	172752
472	32329	172720
473	32408	172708
474	32458	172542
475	32528	172484
476	32590	172379
477	32674	172396
478	32736	172294
479	32801	172209
480	32861	172096
481	32939	172080
482	32988	171908
483	33032	171713
484	33111	171703
485	33174	171608
486	33242	171538
487	33292	171372
488	33353	171266
489	33416	171172
490	33464	171004
491	33523	170886
492	33578	170753
493	33644	170675
494	33718	170635
495	33785	170559
496	33830	170376
497	33876	170200
498	33944	170131
499	34019	170097
500	34088	170032
501	34139	169879
502	34204	169799
503	34261	169678
504	34311	169519
505	34385	169481
506	34443	169363
507	34483	169157
508	34530	168991
509	34605	168955
