iter	MultiClass
0	1.011879923
1	0.9370089377
2	0.871524186
3	0.8136071936
4	0.7620259137
5	0.7157034922
6	0.673927781
7	0.6356309899
8	0.6007946832
9	0.5690019304
10	0.5397251257
11	0.512830903
12	0.4879299856
13	0.4649355284
14	0.4435837285
15	0.4237611353
16	0.4053086101
17	0.3880275221
18	0.3718924991
19	0.3569131905
20	0.3428954051
21	0.3296819769
22	0.3173895626
23	0.3058017125
24	0.2949383727
25	0.2847236117
26	0.2750582836
27	0.2659696105
28	0.2575068414
29	0.2494794691
30	0.2418773664
31	0.2347426917
32	0.2281244322
33	0.2216931346
34	0.2156674994
35	0.2100407749
36	0.2047382628
37	0.1996119533
38	0.1944543063
39	0.1900301871
40	0.1854197225
41	0.1810368677
42	0.1768644975
43	0.1730545057
44	0.1696714945
45	0.1660550004
46	0.1626447518
47	0.1597409606
48	0.156663726
49	0.1539782961
50	0.1512238556
51	0.148623868
52	0.1462834753
53	0.1440112916
54	0.1419417156
55	0.1399448804
56	0.1380366166
57	0.1361669198
58	0.1344731483
59	0.1328683644
60	0.1312518501
61	0.1298168103
62	0.1283650534
63	0.1269480099
64	0.1256834309
65	0.1244471219
66	0.1231709126
67	0.1220978351
68	0.1210514245
69	0.1200788955
70	0.1191698972
71	0.1182495769
72	0.1173826755
73	0.116544522
74	0.1157566196
75	0.1150690731
76	0.1143385126
77	0.1136495864
78	0.1130685307
79	0.112294486
80	0.1117305326
81	0.1111691996
82	0.1106496553
83	0.1101389281
84	0.1097531504
85	0.1092934296
86	0.1088806766
87	0.1084269135
88	0.1079671541
89	0.1074787085
90	0.1071398755
91	0.1067605103
92	0.1063706632
93	0.105906873
94	0.1055651036
95	0.1052366061
96	0.104861634
97	0.1045912489
98	0.1042531944
99	0.1039703006
100	0.1036362693
101	0.1033861851
102	0.1031051487
103	0.1028208367
104	0.1025601936
105	0.1023027722
106	0.1020768424
107	0.101813733
108	0.1014707922
109	0.1012530167
110	0.1010188711
111	0.1007815346
112	0.1006096865
113	0.1003813753
114	0.1001602857
115	0.1000295942
116	0.0998060152
117	0.09963321141
118	0.09942309693
119	0.09917937121
120	0.09898515674
121	0.09880229502
122	0.09865058591
123	0.09848750094
124	0.09827448853
125	0.09809493321
126	0.09791889239
127	0.09772496308
128	0.09754016684
129	0.09735054588
130	0.09709272364
131	0.0969277504
132	0.09679583346
133	0.09661316442
134	0.09649381026
135	0.09632596993
136	0.09620686241
137	0.09607165448
138	0.09591959085
139	0.09577021703
140	0.09559390645
141	0.09545758098
142	0.09530644992
143	0.09514718003
144	0.09499242657
145	0.09487429786
146	0.09473530569
147	0.09451496371
148	0.09433415982
149	0.09416158724
150	0.09405600591
151	0.09396114533
152	0.09384670068
153	0.09370699173
154	0.09353122837
155	0.09342851412
156	0.09331134882
157	0.09324052709
158	0.09315465314
159	0.09296320556
160	0.09279417061
161	0.09258478831
162	0.09246064026
163	0.09235285466
164	0.0922507724
165	0.0921553492
166	0.09204877363
167	0.09189603176
168	0.09169558214
169	0.09156583864
170	0.09148615359
171	0.0913488493
172	0.09124262056
173	0.09113832633
174	0.09097216617
175	0.09088601476
176	0.09078737764
177	0.09068521832
178	0.09055085048
179	0.09046146203
180	0.09032951427
181	0.09023502364
182	0.09016777806
183	0.09009427421
184	0.08989148159
185	0.08973958752
186	0.0896496981
187	0.08958174346
188	0.08949015075
189	0.08942276644
190	0.08926894556
191	0.08915308278
192	0.08905036082
193	0.08897361223
194	0.08885751053
195	0.08875088872
196	0.088678803
197	0.08863361552
198	0.0885909483
199	0.08849601065
200	0.0884097128
201	0.08828358399
202	0.08817823387
203	0.08814069966
204	0.08805383148
205	0.08798432769
206	0.08791586437
207	0.08780557392
208	0.08772292159
209	0.08763325568
210	0.0874906334
211	0.08743419336
212	0.08736490537
213	0.08729213371
214	0.08724166677
215	0.08718584331
216	0.08713403532
217	0.08707080521
218	0.0869039514
219	0.08681646664
220	0.08675243498
221	0.08668024136
222	0.08661839855
223	0.0865296421
224	0.08647833507
225	0.08641031106
226	0.0863540637
227	0.08621943382
228	0.08617873194
229	0.08608268445
230	0.08597291809
231	0.08592554175
232	0.08586704388
233	0.08579548226
234	0.08574455288
235	0.08570557743
236	0.0856406286
237	0.08555556391
238	0.08544696905
239	0.08536571173
240	0.08532077088
241	0.08524228816
242	0.0851028875
243	0.08503463999
244	0.08498169132
245	0.08491976373
246	0.08486814071
247	0.0847883786
248	0.08470715981
249	0.08467147534
250	0.0846204766
251	0.08454656427
252	0.08449507228
253	0.08444351862
254	0.08427353567
255	0.0841704669
256	0.08411739491
257	0.084050211
258	0.0839906187
259	0.08392067559
260	0.08387484841
261	0.08374848838
262	0.08369341252
263	0.08360444026
264	0.08357717979
265	0.08351851236
266	0.08347616114
267	0.08343190623
268	0.08338835267
269	0.08336511538
270	0.08329523393
271	0.08322549121
272	0.08318138274
273	0.08313147843
274	0.08309029099
275	0.08304365455
276	0.08300954235
277	0.08294372261
278	0.08288671994
279	0.08282770569
280	0.08279128132
281	0.08272460608
282	0.08248646811
283	0.08243190093
284	0.08239158441
285	0.0822666271
286	0.08219394022
287	0.08211852498
288	0.08208188481
289	0.08202619237
290	0.08194809502
291	0.08190384781
292	0.08179650923
293	0.08175016566
294	0.08165224531
295	0.08156476055
296	0.08148408127
297	0.08142976072
298	0.08137832267
299	0.081338484
300	0.08129572429
301	0.08126327686
302	0.08122551143
303	0.08116079383
304	0.08111835782
305	0.08098985519
306	0.08092707981
307	0.08087700594
308	0.08082746387
309	0.08078498162
310	0.08074578265
311	0.08069691882
312	0.08066872577
313	0.0806342128
314	0.08061008146
315	0.08056689015
316	0.08054151795
317	0.08050026886
318	0.08046626456
319	0.08041333902
320	0.08034571579
321	0.0803205671
322	0.0802469014
323	0.0801916791
324	0.08015034523
325	0.08009938503
326	0.08004537277
327	0.08001703329
328	0.07998600398
329	0.07990076202
330	0.07987881954
331	0.07985313135
332	0.07981158167
333	0.0797564904
334	0.0797182163
335	0.07960014154
336	0.07957095426
337	0.07951184752
338	0.07946952713
339	0.07944086394
340	0.07939703293
341	0.07935534452
342	0.07926026814
343	0.07923549711
344	0.0792061711
345	0.07915682171
346	0.07904889738
347	0.07898062674
348	0.07886780061
349	0.07881872868
350	0.07873633069
351	0.07866866892
352	0.07863115013
353	0.07858609367
354	0.07853198121
355	0.07848889009
356	0.07843989523
357	0.07840506626
358	0.07830224412
359	0.07824914901
360	0.0781963622
361	0.07810268853
362	0.07805814846
363	0.0780000976
364	0.07797350766
365	0.07792471319
366	0.07785479321
367	0.07779912389
368	0.07774640644
369	0.07770074111
370	0.07765940724
371	0.07760657418
372	0.07753596825
373	0.07750459983
374	0.07744613279
375	0.07742173941
376	0.07736474444
377	0.07731921013
378	0.07722677733
379	0.07720661522
380	0.07717442212
381	0.07708883334
382	0.07706318368
383	0.07702574196
384	0.07699268565
385	0.07694402992
386	0.07690271146
387	0.07685196706
388	0.07681790111
389	0.07678603171
390	0.07676485995
391	0.07667867772
392	0.07663234956
393	0.07657669566
394	0.07653458336
395	0.07649775051
396	0.07647055169
397	0.0764128862
398	0.07638171817
399	0.07635677757
400	0.0763168233
401	0.07620518408
402	0.07617642841
403	0.07615666707
404	0.07613379972
405	0.07610024244
406	0.07604472727
407	0.07601416811
408	0.0759519014
409	0.07592962751
410	0.07588769247
411	0.07584438555
412	0.0758166164
413	0.07575578324
414	0.07572586378
415	0.07567497294
416	0.07562678735
417	0.07556068244
418	0.0755434722
419	0.07550234642
420	0.07546626888
421	0.07543315091
422	0.07539580939
423	0.07536646797
424	0.07534994367
425	0.0753302517
426	0.07528650546
427	0.07520152555
428	0.0751628738
429	0.07513789466
430	0.0751024337
431	0.0750814315
432	0.0750623484
433	0.07503659855
434	0.07496929132
435	0.07491950261
436	0.07480784798
437	0.07478529663
438	0.07477248721
439	0.07473997812
440	0.07468937245
441	0.07466601955
442	0.07463801148
443	0.07461377995
444	0.07457165223
445	0.0745174627
446	0.07448941609
447	0.07443957344
448	0.07440149202
449	0.07435934118
450	0.0743216143
451	0.07429220351
452	0.07425793717
453	0.07423471528
454	0.07420691531
455	0.07414756964
456	0.07412544989
457	0.07409758055
458	0.07408124123
459	0.07404762229
460	0.07401981461
461	0.07399834227
462	0.07396108552
463	0.07392855331
464	0.07389637562
465	0.07384127664
466	0.07381551908
467	0.07375416953
468	0.07371342141
469	0.07369599537
470	0.07364122779
471	0.07360682272
472	0.07358358543
473	0.07355240198
474	0.07352013181
475	0.073482166
476	0.07345227736
477	0.07341280864
478	0.07336891597
479	0.0733245994
480	0.07325511102
481	0.07321929552
482	0.07320759595
483	0.0731813143
484	0.07307628018
485	0.07302676123
486	0.072997204
487	0.07296139621
488	0.07293016652
489	0.07289737997
490	0.07286693641
491	0.07283330206
492	0.07280740577
493	0.07277184462
494	0.07272368985
495	0.07268859883
496	0.0726429335
497	0.07262361147
498	0.07251379116
499	0.07247127038
500	0.07244750128
501	0.07238414015
502	0.07236088744
503	0.07233103734
504	0.07231507567
505	0.07228108679
506	0.07224803819
507	0.07223404957
508	0.07221357146
509	0.07219115113
510	0.07215792526
511	0.07213614463
512	0.07211291504
513	0.07208262563
514	0.07204476772
515	0.07202564608
516	0.07197200377
517	0.07194788014
518	0.07193645032
519	0.07191137099
520	0.07188020296
521	0.07184710041
522	0.07181184754
523	0.07177413607
524	0.07170601187
525	0.07165367207
526	0.07162565629
527	0.07158949397
528	0.07156264199
529	0.07151335425
530	0.0714805677
531	0.0714394111
532	0.07141072479
533	0.07137986504
534	0.07135939464
535	0.07132442694
536	0.07131411467
537	0.07128596787
538	0.07126893489
539	0.07121443707
540	0.07118084126
541	0.0711449564
