iter	Passed	Remaining
0	92	278171
1	183	274397
2	271	271437
3	357	267977
4	443	265520
5	528	263538
6	613	262210
7	698	261155
8	783	260455
9	869	259873
10	953	259022
11	1037	258445
12	1122	257976
13	1207	257616
14	1293	257382
15	1377	256883
16	1462	256554
17	1548	256491
18	1633	256322
19	1718	256033
20	1803	255784
21	1888	255630
22	1972	255320
23	2057	255184
24	2143	255025
25	2228	254897
26	2314	254859
27	2400	254804
28	2481	254192
29	2560	253477
30	2639	252753
31	2717	252032
32	2796	251430
33	2873	250675
34	2951	250061
35	3031	249574
36	3108	248947
37	3185	248328
38	3291	249889
39	3359	248576
40	3464	250022
41	3570	251464
42	3676	252818
43	3782	254094
44	3852	252949
45	3960	254353
46	4068	255627
47	4176	256840
48	4281	257871
49	4389	258993
50	4496	260021
51	4603	260989
52	4679	260200
53	4763	259876
54	4839	259143
55	4926	259014
56	5001	258234
57	5086	258030
58	5161	257301
59	5236	256576
60	5322	256428
61	5398	255802
62	5483	255635
63	5569	255497
64	5644	254879
65	5735	254991
66	5836	255507
67	5912	254925
68	5987	254320
69	6075	254303
70	6143	253450
71	6221	253010
72	6309	252995
73	6398	253017
74	6485	252927
75	6570	252791
76	6660	252826
77	6751	252928
78	6834	252688
79	6937	253211
80	7036	253580
81	7136	253952
82	7217	253664
83	7301	253478
84	7390	253453
85	7470	253141
86	7569	253461
87	7637	252727
88	7719	252472
89	7798	252146
90	7893	252322
91	7959	251580
92	8033	251113
93	8118	250995
94	8209	251025
95	8285	250621
96	8368	250459
97	8452	250283
98	8540	250267
99	8632	250337
100	8705	249861
101	8785	249623
102	8857	249134
103	8931	248697
104	9023	248783
105	9107	248663
106	9192	248533
107	9261	248011
108	9362	248327
109	9444	248141
110	9538	248270
111	9613	247885
112	9678	247283
113	9771	247360
114	9850	247119
115	9916	246542
116	10004	246516
117	10096	246589
118	10167	246157
119	10239	245743
120	10312	245368
121	10382	244915
122	10450	244430
123	10529	244214
124	10611	244058
125	10688	243790
126	10769	243623
127	10850	243448
128	10936	243406
129	11011	243093
130	11094	242981
131	11172	242740
132	11247	242457
133	11323	242178
134	11407	242087
135	11507	242342
136	11579	241978
137	11658	241784
138	11735	241548
139	11826	241595
140	11919	241680
141	12007	241678
142	12075	241252
143	12143	240839
144	12222	240661
145	12308	240598
146	12375	240181
147	12471	240335
148	12573	240578
149	12653	240407
150	12750	240579
151	12827	240352
152	12891	239874
153	12992	240110
154	13070	239915
155	13155	239831
156	13243	239812
157	13317	239553
158	13379	239067
159	13451	238772
160	13537	238707
161	13613	238482
162	13692	238310
163	13765	238036
164	13836	237736
165	13925	237742
166	14026	237943
167	14113	237909
168	14188	237676
169	14269	237541
170	14348	237377
171	14437	237382
172	14523	237326
173	14605	237209
174	14673	236865
175	14734	236416
176	14818	236349
177	14896	236166
178	14959	235751
179	15039	235626
180	15115	235414
181	15189	235179
182	15257	234859
183	15332	234649
184	15407	234442
185	15479	234191
186	15560	234071
187	15635	233860
188	15691	233385
189	15762	233125
190	15857	233210
191	15924	232902
192	16011	232870
193	16071	232459
194	16165	232531
195	16243	232376
196	16316	232154
197	16385	231884
198	16438	231384
199	16503	231053
200	16574	230800
201	16646	230577
202	16728	230486
203	16792	230153
204	16877	230114
205	16941	229776
206	17029	229781
207	17104	229596
208	17194	229612
209	17263	229352
210	17328	229045
