iter	Passed	Remaining
0	107	323441
1	214	322099
2	316	315757
3	416	312047
4	516	309403
5	615	307083
6	713	305127
7	811	303601
8	911	302786
9	1010	302070
10	1109	301458
11	1208	300857
12	1307	300456
13	1407	300241
14	1506	299838
15	1605	299510
16	1704	299138
17	1805	299041
18	1904	298847
19	2003	298563
20	2102	298230
21	2202	298128
22	2302	298052
23	2402	297932
24	2501	297695
25	2601	297602
26	2702	297570
27	2801	297404
28	2901	297274
29	3001	297170
30	3102	297183
31	3202	297054
32	3302	296966
33	3402	296828
34	3504	296854
35	3605	296869
36	3708	296950
37	3793	295675
38	3893	295631
39	3980	294545
40	4081	294533
41	4183	294635
42	4281	294454
43	4366	293345
44	4453	292472
45	4549	292185
46	4621	290384
47	4721	290375
48	4820	290318
49	4891	288610
50	4975	287672
51	5060	286880
52	5161	286987
53	5260	286976
54	5345	286246
55	5432	285573
56	5517	284896
57	5595	283842
58	5691	283721
59	5785	283476
60	5866	282663
61	5936	281317
62	6031	281176
63	6115	280551
64	6207	280306
65	6298	279998
66	6394	279908
67	6464	278713
68	6557	278555
69	6647	278232
70	6731	277700
71	6826	277618
72	6909	277053
73	6978	275920
74	7052	275031
75	7139	274679
76	7237	274749
77	7325	274425
78	7413	274107
79	7483	273161
80	7585	273354
81	7663	272721
82	7744	272184
83	7824	271620
84	7918	271563
85	8014	271548
86	8098	271152
87	8177	270605
88	8250	269861
89	8326	269220
90	8426	269357
91	8497	268594
92	8573	267976
93	8664	267854
94	8752	267637
95	8828	267070
96	8915	266821
97	9008	266769
98	9081	266104
99	9164	265771
100	9254	265637
101	9334	265204
102	9404	264522
103	9485	264121
104	9560	263584
105	9639	263181
106	9706	262425
107	9772	261686
108	9866	261688
109	9942	261212
110	10041	261359
111	10120	260970
112	10194	260446
113	10283	260334
114	10382	260476
115	10465	260205
116	10529	259460
117	10618	259338
118	10690	258825
119	10762	258297
120	10834	257800
121	10902	257182
122	10984	256927
123	11064	256636
124	11134	256087
125	11208	255660
126	11272	255008
127	11360	254906
128	11431	254411
129	11500	253906
130	11588	253787
131	11678	253740
132	11752	253334
133	11827	252976
134	11904	252629
135	11973	252140
136	12049	251816
137	12118	251324
138	12185	250803
139	12260	250470
140	12332	250061
141	12417	249914
142	12474	249234
143	12543	248781
144	12623	248561
145	12708	248432
146	12788	248195
147	12871	248040
148	12958	247946
149	13042	247807
150	13120	247549
151	13190	247145
152	13257	246688
153	13316	246093
154	13401	245975
155	13484	245828
156	13568	245708
157	13635	245272
158	13717	245112
159	13775	244519
160	13855	244329
161	13939	244207
162	14010	243845
163	14086	243593
164	14153	243175
165	14226	242873
166	14296	242521
167	14385	242506
168	14461	242248
169	14536	241989
170	14607	241658
171	14691	241554
172	14773	241411
173	14845	241110
174	14913	240743
175	14975	240284
176	15057	240158
177	15135	239959
178	15202	239582
179	15275	239310
180	15358	239199
181	15440	239075
182	15507	238715
183	15576	238382
184	15642	238014
185	15715	237758
186	15791	237543
187	15852	237120
188	15904	236543
189	15965	236114
190	16039	235884
191	16086	235261
192	16173	235227
193	16242	234929
194	16336	234987
195	16400	234625
196	16485	234559
197	16575	234565
198	16644	234273
199	16710	233950
200	16776	233625
201	16834	233184
202	16924	233192
203	17005	233072
204	17069	232730
205	17130	232345
206	17199	232072
207	17263	231731
208	17345	231630
209	17415	231371
210	17478	231024
211	17563	230971
212	17649	230935
213	17722	230722
214	17813	230748
215	17903	230759
216	17969	230456
217	18038	230203
218	18113	230013
219	18182	229762
220	18253	229527
221	18342	229524
222	18413	229297
223	18478	229002
224	18538	228645
225	18608	228406
226	18680	228197
227	18773	228249
228	18833	227891
229	18904	227672
230	18955	227219
231	19016	226886
232	19095	226765
233	19148	226340
234	19211	226045
235	19297	226013
236	19371	225833
237	19449	225715
238	19538	225716
239	19636	225815
240	19705	225591
241	19770	225314
242	19847	225184
243	19923	225040
244	20001	224914
245	20093	224953
246	20161	224709
247	20256	224779
248	20338	224708
249	20395	224348
250	20472	224220
251	20527	223846
252	20601	223679
253	20663	223398
254	20738	223238
255	20810	223059
256	20884	222899
257	20968	222854
258	21041	222686
259	21133	222715
260	21201	222493
261	21257	222153
262	21329	221968
263	21390	221686
264	21456	221451
265	21523	221219
266	21585	220948
267	21653	220738
268	21708	220393
269	21759	220016
270	21842	219956
271	21903	219681
272	21962	219382
273	22024	219121
274	22105	219044
275	22182	218934
276	22263	218862
277	22339	218737
278	22406	218518
279	22472	218299
280	22533	218037
281	22584	217672
282	22656	217519
283	22709	217180
284	22778	216994
285	22874	217070
286	22920	216670
287	22988	216473
288	23062	216339
289	23160	216431
290	23224	216201
291	23277	215876
292	23346	215696
293	23431	215665
294	23492	215414
295	23562	215243
296	23651	215251
297	23742	215272
298	23811	215102
299	23861	214753
300	23944	214703
301	24036	214736
302	24097	214488
303	24162	214283
304	24255	214326
305	24320	214114
306	24400	214039
307	24474	213909
308	24559	213885
309	24635	213774
310	24716	213704
311	24796	213635
312	24853	213362
313	24921	213180
314	24972	212859
315	25036	212652
316	25100	212444
