iter	Passed	Remaining
0	97	292063
1	191	286357
2	281	281578
3	371	278362
4	461	276338
5	551	275106
6	641	274357
7	731	273545
8	821	273090
9	912	272756
10	1002	272419
11	1092	272070
12	1183	271954
13	1274	271813
14	1364	271524
15	1454	271177
16	1543	270907
17	1634	270733
18	1724	270502
19	1813	270239
20	1903	270018
21	1993	269892
22	2083	269642
23	2172	269361
24	2260	269046
25	2350	268862
26	2439	268628
27	2529	268523
28	2620	268433
29	2710	268351
30	2800	268228
31	2891	268204
32	2981	268071
33	3071	267936
34	3160	267766
35	3238	266612
36	3315	265495
37	3405	265452
38	3495	265386
39	3586	265369
40	3675	265296
41	3753	264330
42	3829	263334
43	3918	263276
44	4009	263302
45	4098	263219
46	4189	263252
47	4252	261528
48	4316	259931
49	4379	258415
50	4442	256893
51	4518	256142
52	4604	256036
53	4688	255771
54	4778	255870
55	4848	254885
56	4933	254733
57	4997	253495
58	5060	252250
59	5141	251944
60	5223	251648
61	5298	251097
62	5386	251117
63	5462	250597
64	5538	250100
65	5625	250088
66	5709	249931
67	5794	249841
68	5864	249094
69	5944	248817
70	6007	247821
71	6071	246901
72	6140	246196
73	6215	245776
74	6292	245406
75	6377	245383
76	6454	245014
77	6533	244768
78	6607	244295
79	6686	244062
80	6761	243665
81	6845	243615
82	6928	243506
83	6998	242943
84	7083	242917
85	7161	242645
86	7243	242537
87	7330	242577
88	7416	242587
89	7486	242053
90	7558	241627
91	7637	241415
92	7705	240856
93	7785	240684
94	7868	240617
95	7923	239680
96	7991	239179
97	8061	238731
98	8134	238377
99	8207	238023
100	8283	237751
101	8361	237569
102	8424	236960
103	8503	236787
104	8581	236593
105	8647	236105
106	8733	236124
107	8804	235755
108	8859	234974
109	8941	234918
110	9009	234486
111	9085	234286
112	9161	234070
113	9230	233668
114	9299	233298
115	9376	233117
116	9445	232738
117	9507	232214
118	9573	231773
119	9648	231559
120	9726	231424
121	9778	230672
122	9845	230282
123	9906	229772
124	9987	229703
125	10072	229744
126	10139	229372
127	10221	229352
128	10290	229024
129	10356	228635
130	10435	228534
131	10510	228361
132	10572	227907
133	10653	227853
134	10715	227416
135	10800	227444
136	10855	226847
137	10924	226569
138	10991	226235
139	11066	226076
140	11141	225916
141	11211	225643
142	11278	225338
143	11357	225254
144	11420	224868
145	11486	224535
146	11552	224215
147	11619	223905
148	11697	223824
149	11774	223720
150	11829	223192
151	11892	222836
152	11952	222417
153	12021	222156
154	12082	221765
155	12146	221432
156	12210	221118
157	12275	220807
158	12344	220562
159	12417	220407
160	12491	220271
