iter	Passed	Remaining
0	98	296296
1	194	291266
2	288	287742
3	378	283593
4	469	281066
5	559	279006
6	648	277408
7	738	276340
8	828	275456
9	918	274751
10	1009	274308
11	1098	273617
12	1188	272967
13	1278	272593
14	1368	272264
15	1458	271953
16	1548	271668
17	1638	271435
18	1728	271253
19	1818	270963
20	1908	270768
21	1998	270576
22	2088	270318
23	2178	270167
24	2268	269918
25	2358	269820
26	2448	269650
27	2539	269506
28	2629	269421
29	2719	269233
30	2809	269043
31	2898	268836
32	2988	268656
33	3078	268525
34	3168	268405
35	3246	267272
36	3323	266185
37	3414	266147
38	3504	266043
39	3594	266029
40	3685	265980
41	3763	265029
42	3839	263998
43	3929	263976
44	4021	264047
45	4111	264015
46	4203	264087
47	4265	262342
48	4329	260734
49	4393	259212
50	4457	257750
51	4533	257018
52	4620	256905
53	4704	256661
54	4796	256838
55	4867	255901
56	4954	255815
57	5017	254519
58	5080	253272
59	5163	253011
60	5245	252745
61	5321	252186
62	5410	252215
63	5487	251716
64	5563	251194
65	5649	251140
66	5731	250893
67	5816	250796
68	5886	250036
69	5967	249789
70	6029	248754
71	6093	247807
72	6162	247084
73	6237	246647
74	6314	246264
75	6400	246241
76	6476	245852
77	6555	245573
78	6629	245116
79	6708	244848
80	6781	244380
81	6864	244263
82	6947	244157
83	7016	243578
84	7100	243506
85	7178	243225
86	7262	243182
87	7350	243224
88	7435	243192
89	7504	242643
90	7576	242208
91	7656	242002
92	7724	241466
93	7805	241306
94	7889	241265
95	7945	240338
96	8013	239840
97	8083	239376
98	8156	239018
99	8229	238655
100	8306	238410
101	8385	238233
102	8448	237628
103	8527	237471
104	8605	237266
105	8671	236756
106	8758	236800
107	8828	236411
108	8884	235632
109	8966	235564
110	9034	235138
111	9110	234928
112	9185	234685
113	9254	234284
114	9324	233913
115	9401	233739
116	9470	233361
117	9533	232836
118	9599	232395
119	9673	232175
120	9752	232042
121	9804	231282
122	9871	230892
123	9933	230388
124	10013	230315
125	10100	230394
126	10168	230021
127	10251	230020
128	10321	229704
129	10386	229309
130	10465	229198
131	10541	229031
132	10603	228576
133	10684	228510
134	10747	228076
135	10830	228083
136	10885	227479
137	10956	227224
138	11022	226865
139	11096	226679
140	11170	226493
141	11239	226211
142	11306	225901
143	11384	225799
144	11447	225395
145	11513	225068
146	11579	224728
147	11645	224411
148	11723	224313
149	11798	224176
150	11852	223630
151	11913	223225
152	11972	222785
153	12040	222516
154	12101	222114
155	12165	221784
156	12230	221467
157	12294	221144
158	12362	220898
159	12435	220731
160	12509	220589
161	12576	220330
162	12631	219845
163	12699	219603
164	12749	219061
165	12795	218444
166	12874	218403
167	12939	218118
168	13000	217770
169	13060	217421
170	13124	217128
171	13193	216931
172	13268	216823
173	13356	216925
174	13414	216552
175	13474	216198
176	13527	215750
177	13599	215606
178	13668	215407
179	13739	215249
180	13805	215019
181	13872	214801
182	13941	214605
183	14006	214353
184	14061	213968
185	14128	213747
186	14200	213613
187	14281	213618
188	14351	213454
189	14428	213383
190	14494	213172
191	14577	213194
192	14640	212933
193	14723	212962
194	14774	212532
195	14845	212387
196	14910	212152
197	14961	211727
198	15022	211451
199	15083	211170
200	15146	210925
201	15224	210878
202	15277	210501
203	15349	210380
204	15413	210156
205	15480	209970
206	15538	209653
207	15609	209529
208	15667	209224
209	15751	209273
210	15812	209007
211	15888	208943
212	15952	208736
213	16019	208552
214	16077	208262
215	16154	208212
216	16220	208030
217	16287	207854
218	16355	207695
219	16428	207599
220	16483	207274
221	16557	207190
222	16621	206988
223	16701	206980
224	16766	206791
225	16833	206616
226	16910	206579
227	16978	206421
228	17048	206297
229	17119	206182
230	17192	206081
231	17240	205701
232	17310	205571
233	17378	205426
234	17423	205001
235	17487	204805
236	17557	204687
237	17625	204546
238	17678	204222
239	17745	204069
240	17817	203974
241	17879	203772
242	17933	203471
243	18018	203517
244	18080	203310
245	18127	202944
246	18192	202763
247	18263	202666
248	18315	202352
249	18391	202308
250	18476	202353
251	18537	202144
252	18592	201867
253	18652	201652
254	18707	201383
255	18769	201190
256	18854	201241
257	18917	201051
258	18985	200921
259	19037	200621
260	19107	200515
261	19163	200268
262	19218	200008
263	19287	199891
264	19346	199674
265	19418	199591
266	19478	199383
267	19525	199042
268	19568	198664
269	19634	198531
270	19694	198328
271	19776	198350
272	19844	198225
273	19900	197986
274	19967	197855
275	20041	197799
276	20109	197681
277	20168	197474
278	20235	197346
279	20290	197108
280	20364	197048
281	20436	196974
282	20508	196899
283	20550	196536
284	20599	196239
285	20647	195938
286	20700	195683
287	20751	195407
288	20819	195304
289	20893	195244
290	20962	195149
291	21035	195081
292	21072	194689
293	21127	194461
294	21180	194217
295	21244	194070
296	21308	193931
297	21373	193794
298	21432	193608
299	21491	193425
300	21548	193219
301	21610	193065
302	21670	192890
303	21724	192660
304	21774	192398
305	21819	192098
306	21871	191854
307	21930	191676
308	21995	191550
309	22039	191249
310	22101	191092
311	22159	190910
312	22226	190808
313	22282	190610
314	22339	190418
315	22409	190340
316	22468	190165
317	22530	190021
318	22576	189742
319	22625	189490
320	22673	189231
321	22738	189114
322	22788	188872
323	22842	188659
324	22883	188352
325	22964	188364
326	23017	188151
327	23089	188098
328	23160	188028
329	23216	187845
330	23273	187665
331	23316	187376
332	23369	187165
333	23447	187156
334	23508	187017
335	23563	186826
336	23621	186655
337	23696	186628
338	23769	186580
339	23825	186399
340	23877	186189
341	23942	186082
342	24002	185933
343	24075	185882
344	24149	185844
345	24193	185575
346	24238	185315
347	24292	185121
348	24337	184870
349	24384	184622
350	24438	184435
351	24503	184335
352	24579	184309
353	24663	184346
354	24733	184279
355	24789	184114
356	24865	184089
357	24935	184019
358	24991	183849
359	25035	183595
360	25107	183540
361	25160	183355
362	25218	183197
363	25300	183218
364	25348	182991
365	25419	182940
366	25471	182742
367	25527	182578
368	25591	182471
369	25667	182448
370	25740	182403
371	25806	182313
372	25874	182229
373	25912	181940
374	25977	181841
375	26027	181638
376	26104	181624
377	26169	181524
378	26233	181417
379	26287	181244
380	26344	181089
381	26396	180907
382	26481	180945
383	26542	180821
384	26614	180771
385	26672	180624
386	26752	180629
387	26810	180489
388	26869	180347
389	26920	180161
390	26981	180036
391	27064	180061
392	27122	179922
393	27176	179749
394	27227	179563
395	27279	179384
396	27330	179198
397	27406	179175
398	27463	179026
399	27518	178869
400	27581	178762
401	27663	178778
402	27714	178594
403	27778	178500
404	27852	178464
405	27915	178359
406	27977	178247
407	28040	178141
408	28108	178069
409	28161	177895
410	28212	177717
411	28262	177535
412	28316	177373
413	28371	177218
414	28433	177107
415	28490	176968
416	28553	176868
417	28613	176747
418	28667	176589
419	28731	176493
420	28785	176336
421	28839	176179
422	28892	176018
423	28966	175986
424	29027	175870
425	29098	175821
426	29150	175654
427	29198	175464
428	29257	175341
429	29315	175209
430	29402	175257
431	29462	175140
432	29531	175072
433	29587	174934
434	29642	174789
435	29715	174749
436	29802	174791
437	29866	174700
438	29915	174516
439	29972	174382
440	30043	174334
441	30124	174342
442	30178	174190
443	30259	174195
444	30325	174113
445	30372	173929
446	30423	173761
447	30474	173596
448	30526	173436
449	30588	173334
450	30656	173268
451	30699	173055
452	30760	172951
453	30830	172895
454	30894	172802
455	30933	172575
456	30991	172456
457	31056	172368
458	31137	172375
459	31204	172301
460	31264	172193
461	31318	172046
462	31386	171983
463	31441	171843
464	31487	171655
465	31553	171582
466	31608	171444
467	31664	171313
468	31714	171152
469	31781	171078
470	31839	170961
471	31891	170808
472	31976	170835
473	32031	170699
474	32100	170637
475	32173	170600
476	32242	170542
477	32294	170390
478	32348	170250
479	32395	170076
480	32444	169913
481	32518	169879
482	32563	169694
483	32608	169508
484	32675	169440
485	32737	169344
486	32793	169220
487	32857	169133
488	32904	168964
489	32972	168899
490	33035	168810
491	33104	168751
492	33156	168608
493	33227	168560
494	33308	168560
495	33357	168399
496	33420	168310
497	33473	168175
498	33516	167987
499	33590	167953
500	33659	167893
501	33710	167745
502	33763	167610
503	33849	167635
504	33906	167520
505	33978	167476
506	34037	167370
507	34099	167276
508	34168	167216
509	34209	167024
510	34283	166988
511	34355	166946
512	34437	166951
513	34490	166813
514	34544	166684
515	34608	166602
516	34653	166431
517	34708	166306
518	34765	166190
519	34808	166011
520	34852	165834
521	34900	165676
522	34961	165583
523	35026	165504
524	35085	165405
525	35140	165278
526	35206	165211
527	35277	165163
528	35333	165047
529	35413	165039
530	35485	164998
531	35542	164887
532	35630	164914
533	35670	164725
534	35726	164610
535	35796	164555
536	35851	164435
537	35892	164252
538	35943	164113
539	36000	164002
540	36083	164009
541	36146	163927
542	36218	163882
543	36269	163747
544	36311	163567
545	36370	163465
546	36419	163320
547	36469	163180
548	36530	163089
549	36587	162978
550	36640	162852
551	36692	162721
552	36757	162651
553	36829	162606
554	36891	162524
555	36932	162344
556	36988	162230
557	37054	162162
558	37137	162168
559	37208	162122
560	37272	162047
561	37314	161874
562	37377	161791
563	37448	161745
564	37507	161645
565	37571	161569
566	37653	161570
567	37717	161494
568	37779	161410
569	37862	161414
570	37931	161358
571	38005	161323
572	38062	161216
573	38137	161189
574	38184	161038
575	38234	160902
576	38303	160846
577	38374	160802
578	38451	160778
579	38516	160707
580	38574	160606
581	38631	160500
582	38688	160396
583	38764	160369
584	38815	160239
585	38892	160215
586	38960	160156
587	39017	160049
588	39106	160076
589	39165	159982
590	39220	159867
591	39272	159741
592	39331	159648
593	39398	159584
594	39455	159478
595	39515	159388
596	39563	159248
597	39624	159162
598	39667	159001
599	39720	158883
600	39777	158779
601	39834	158674
602	39884	158544
603	39931	158405
604	39982	158277
605	40061	158262
606	40143	158260
607	40221	158241
608	40271	158111
609	40338	158046
610	40396	157951
611	40463	157887
612	40525	157802
613	40609	157809
614	40654	157660
615	40721	157596
616	40763	157438
617	40819	157332
618	40866	157192
619	40924	157095
620	40972	156961
621	41033	156876
622	41097	156803
623	41159	156723
624	41229	156671
625	41283	156561
626	41348	156491
627	41407	156397
628	41486	156383
629	41529	156228
630	41583	156117
631	41656	156081
632	41704	155946
633	41775	155899
634	41851	155873
635	41909	155778
636	41968	155687
637	42018	155561
638	42093	155530
639	42157	155454
640	42209	155337
641	42253	155191
642	42305	155075
643	42373	155017
644	42419	154881
645	42478	154788
646	42539	154706
647	42596	154610
648	42681	154612
649	42739	154519
650	42801	154439
651	42843	154288
652	42898	154184
653	42946	154054
654	43008	153977
655	43061	153867
656	43149	153879
657	43204	153775
658	43256	153664
659	43306	153540
660	43358	153428
661	43405	153295
662	43462	153200
663	43523	153120
664	43601	153096
665	43666	153029
666	43736	152977
667	43790	152872
668	43851	152791
669	43905	152686
670	43962	152591
671	44009	152461
672	44074	152395
673	44125	152278
674	44168	152135
675	44231	152063
676	44299	152004
677	44360	151923
678	44406	151794
679	44468	151715
680	44521	151606
681	44583	151531
682	44630	151404
683	44697	151343
684	44752	151244
685	44822	151194
686	44899	151167
687	44965	151103
688	45033	151049
689	45091	150959
690	45142	150844
691	45213	150799
692	45276	150724
693	45326	150609
694	45386	150525
695	45434	150404
696	45494	150322
697	45545	150208
698	45595	150093
699	45654	150006
700	45705	149894
701	45759	149794
702	45814	149694
703	45881	149635
704	45947	149574
705	46028	149558
706	46101	149519
707	46150	149403
708	46211	149324
709	46252	149180
710	46331	149159
711	46404	149121
712	46456	149013
713	46499	148878
714	46549	148763
715	46609	148682
716	46674	148614
717	46734	148535
718	46807	148494
719	46859	148388
720	46910	148279
721	46986	148248
722	47041	148150
723	47111	148102
724	47165	148000
725	47245	147984
726	47317	147940
727	47377	147859
728	47447	147810
729	47499	147703
730	47552	147601
731	47619	147542
732	47680	147465
733	47747	147406
734	47801	147305
735	47860	147223
736	47914	147123
737	47966	147018
738	48048	147007
739	48093	146881
740	48141	146762
741	48188	146643
742	48238	146533
743	48300	146460
744	48351	146353
745	48404	146252
746	48475	146205
747	48520	146080
748	48581	146002
749	48639	145917
750	48692	145817
751	48766	145782
752	48825	145699
753	48887	145626
754	48940	145525
755	49006	145463
756	49063	145375
757	49140	145346
758	49180	145208
759	49235	145114
760	49299	145046
761	49353	144950
762	49400	144833
763	49446	144715
764	49500	144618
765	49549	144508
766	49606	144420
767	49669	144352
768	49720	144246
769	49790	144199
770	49849	144118
771	49894	143996
772	49960	143934
773	50020	143856
774	50096	143824
775	50157	143750
776	50218	143675
777	50289	143627
778	50335	143512
779	50386	143406
780	50438	143306
781	50505	143250
782	50571	143189
783	50623	143088
784	50686	143019
785	50746	142941
786	50794	142831
787	50862	142776
788	50901	142641
789	50949	142528
790	50999	142424
791	51071	142382
792	51123	142282
793	51178	142190
794	51221	142066
795	51281	141990
796	51351	141941
797	51413	141870
798	51468	141778
799	51525	141694
800	51575	141590
801	51616	141462
802	51663	141351
803	51721	141270
804	51806	141260
805	51861	141172
806	51930	141119
807	51981	141019
808	52031	140915
809	52102	140869
810	52177	140833
811	52239	140763
812	52300	140689
813	52359	140612
814	52404	140496
815	52473	140443
816	52520	140332
817	52571	140234
818	52634	140164
819	52698	140101
820	52761	140033
821	52817	139947
822	52881	139882
823	52941	139806
824	52993	139710
825	53071	139682
826	53140	139630
827	53183	139510
828	53265	139491
